Additional run info,,Matrix element datatype,float,kernel_size,3x3 to 7x7

kernel_size,matrix_size,exec_time-0,effective_bandwidth-0,flops-0,exec_time-1,effective_bandwidth-1,flops-1,exec_time-2,effective_bandwidth-2,flops-2,exec_time-3,effective_bandwidth-3,flops-3,exec_time-4,effective_bandwidth-4,flops-4,exec_time-5,effective_bandwidth-5,flops-5,exec_time-6,effective_bandwidth-6,flops-6,exec_time-7,effective_bandwidth-7,flops-7,exec_time-8,effective_bandwidth-8,flops-8,exec_time-9,effective_bandwidth-9,flops-9,,mean_exec_time,stdev_exec_time,mean_effective_bandwidth,stdev_effective_bandwidth,mean_flops,stdev_flops
3x3,2^{12},0.000510,1.831117,0.000434,0.000512,1.823964,0.000432,0.000512,1.823964,0.000432,0.000513,1.820409,0.000431,0.000510,1.831117,0.000434,0.000510,1.831117,0.000434,0.000509,1.834714,0.000435,0.000511,1.827534,0.000433,0.000512,1.823964,0.000432,0.000513,1.820409,0.000431,,0.000511,0.000001,1.826831,0.004742,0.000433,0.000001
3x3,2^{14},0.002080,1.795930,0.000425,0.002079,1.796794,0.000426,0.002083,1.793343,0.000425,0.002076,1.799390,0.000426,0.002075,1.800257,0.000426,0.002099,1.779673,0.000422,0.002047,1.824882,0.000432,0.002047,1.824882,0.000432,0.002035,1.835643,0.000435,0.002041,1.830247,0.000433,,0.002066,0.000021,1.808104,0.018032,0.000428,0.000004
3x3,2^{16},0.007980,1.872455,0.000443,0.008188,1.824889,0.000432,0.007951,1.879284,0.000445,0.007949,1.879757,0.000445,0.007974,1.873864,0.000444,0.008176,1.827567,0.000433,0.007951,1.879284,0.000445,0.007950,1.879521,0.000445,0.008016,1.864046,0.000441,0.008246,1.812053,0.000429,,0.008038,0.000111,1.859272,0.025411,0.000440,0.000006
3x3,2^{18},0.031998,1.867892,0.000442,0.032586,1.834187,0.000434,0.032453,1.841704,0.000436,0.046403,1.288038,0.000305,0.045310,1.319109,0.000312,0.032408,1.844261,0.000437,0.032409,1.844204,0.000437,0.032405,1.844432,0.000437,0.032739,1.825615,0.000432,0.032389,1.845343,0.000437,,0.035110,0.005382,1.735478,0.216298,0.000411,0.000051
3x3,2^{20},0.126546,1.889236,0.000447,0.128606,1.858975,0.000440,0.129227,1.850041,0.000438,0.133046,1.796937,0.000426,0.129939,1.839904,0.000436,0.126958,1.883106,0.000446,0.128265,1.863917,0.000441,0.131988,1.811341,0.000429,0.129308,1.848883,0.000438,0.127387,1.876764,0.000444,,0.129127,0.001991,1.851910,0.028289,0.000439,0.000007
5x5,2^{12},0.001282,1.955330,0.000479,0.001284,1.952284,0.000479,0.001295,1.935701,0.000474,0.001292,1.940196,0.000476,0.001296,1.934207,0.000474,0.001281,1.956856,0.000480,0.001284,1.952284,0.000479,0.001282,1.955330,0.000479,0.001282,1.955330,0.000479,0.001283,1.953806,0.000479,,0.001286,0.000006,1.949132,0.008364,0.000478,0.000002
5x5,2^{14},0.005228,1.917940,0.000470,0.005127,1.955722,0.000479,0.005126,1.956104,0.000479,0.005127,1.955722,0.000479,0.005134,1.953056,0.000479,0.005127,1.955722,0.000479,0.005126,1.956104,0.000479,0.005126,1.956104,0.000479,0.005128,1.955341,0.000479,0.005126,1.956104,0.000479,,0.005137,0.000030,1.951792,0.011318,0.000478,0.000003
5x5,2^{16},0.020516,1.954963,0.000479,0.020644,1.942841,0.000476,0.020587,1.948220,0.000478,0.020573,1.949546,0.000478,0.020529,1.953725,0.000479,0.020566,1.950210,0.000478,0.020676,1.939834,0.000475,0.021881,1.833006,0.000449,0.021036,1.906637,0.000467,0.020637,1.943500,0.000476,,0.020764,0.000398,1.932248,0.035574,0.000474,0.000009
5x5,2^{18},0.082554,1.943360,0.000476,0.082095,1.954225,0.000479,0.081876,1.959452,0.000480,0.081520,1.968009,0.000482,0.081293,1.973505,0.000484,0.081105,1.978079,0.000485,0.081227,1.975108,0.000484,0.083436,1.922816,0.000471,0.083656,1.917760,0.000470,0.082758,1.938569,0.000475,,0.082152,0.000872,1.953088,0.020641,0.000479,0.000005
5x5,2^{20},0.329965,1.944838,0.000477,0.333983,1.921441,0.000471,0.327616,1.958783,0.000480,0.332584,1.929523,0.000473,0.326801,1.963667,0.000481,0.337042,1.904002,0.000467,0.326718,1.964166,0.000481,0.332032,1.932731,0.000474,0.327698,1.958292,0.000480,0.331872,1.933663,0.000474,,0.330631,0.003283,1.941111,0.019198,0.000476,0.000005
