Additional run info,,Matrix element datatype,float,kernel_size,3x3 to 9x9

kernel_size,matrix_size,exec_time-0,effective_bandwidth-0,flops-0,exec_time-1,effective_bandwidth-1,flops-1,exec_time-2,effective_bandwidth-2,flops-2,exec_time-3,effective_bandwidth-3,flops-3,exec_time-4,effective_bandwidth-4,flops-4,,mean_exec_time,stdev_exec_time,mean_effective_bandwidth,stdev_effective_bandwidth,mean_flops,stdev_flops
3x3,2^{12},0.000908,0.108303,0.000244,0.000900,0.109265,0.000246,0.000880,0.111749,0.000251,0.000935,0.105175,0.000237,0.000904,0.108782,0.000245,,0.000905,0.000018,0.108655,0.002107,0.000244,0.000005
3x3,2^{14},0.003566,0.110278,0.000248,0.003733,0.105344,0.000237,0.003576,0.109969,0.000247,0.003531,0.111371,0.000251,0.003629,0.108363,0.000244,,0.003607,0.000070,0.109065,0.002095,0.000245,0.000005
3x3,2^{16},0.014627,0.107534,0.000242,0.014314,0.109885,0.000247,0.014295,0.110031,0.000248,0.014301,0.109985,0.000247,0.014265,0.110263,0.000248,,0.014360,0.000134,0.109540,0.001011,0.000246,0.000002
3x3,2^{18},0.057019,0.110340,0.000248,0.056791,0.110783,0.000249,0.056844,0.110680,0.000249,0.056735,0.110893,0.000250,0.056809,0.110748,0.000249,,0.056840,0.000096,0.110689,0.000187,0.000249,0.000000
3x3,2^{20},0.227576,0.110582,0.000249,0.227727,0.110509,0.000249,0.227816,0.110466,0.000249,0.227873,0.110438,0.000248,0.227582,0.110579,0.000249,,0.227715,0.000120,0.110515,0.000058,0.000249,0.000000
3x3,2^{22},0.911217,0.110471,0.000249,0.909645,0.110662,0.000249,0.910027,0.110616,0.000249,0.911015,0.110496,0.000249,0.909687,0.110657,0.000249,,0.910318,0.000668,0.110580,0.000081,0.000249,0.000000
5x5,2^{12},0.002285,0.043065,0.000269,0.002207,0.044587,0.000278,0.002197,0.044790,0.000280,0.002285,0.043065,0.000269,0.002293,0.042915,0.000268,,0.002253,0.000042,0.043684,0.000824,0.000273,0.000005
5x5,2^{14},0.009025,0.043581,0.000272,0.009138,0.043042,0.000269,0.009187,0.042812,0.000268,0.009641,0.040796,0.000255,0.008993,0.043736,0.000273,,0.009197,0.000233,0.042793,0.001054,0.000267,0.000007
5x5,2^{16},0.036813,0.042728,0.000267,0.036803,0.042740,0.000267,0.036716,0.042841,0.000268,0.036651,0.042917,0.000268,0.036554,0.043031,0.000269,,0.036707,0.000097,0.042852,0.000113,0.000268,0.000001
5x5,2^{18},0.147402,0.042683,0.000267,0.147303,0.042712,0.000267,0.147296,0.042714,0.000267,0.147429,0.042675,0.000267,0.147437,0.042673,0.000267,,0.147373,0.000061,0.042691,0.000018,0.000267,0.000000
5x5,2^{20},0.591668,0.042534,0.000266,0.591803,0.042524,0.000266,0.591848,0.042521,0.000266,0.591419,0.042552,0.000266,0.593311,0.042416,0.000265,,0.592010,0.000668,0.042509,0.000048,0.000266,0.000000
5x5,2^{22},2.369310,0.042486,0.000266,2.368608,0.042499,0.000266,2.367979,0.042510,0.000266,2.369609,0.042481,0.000266,2.369015,0.042492,0.000266,,2.368904,0.000569,0.042494,0.000010,0.000266,0.000000
7x7,2^{12},0.004192,0.023497,0.000287,0.004340,0.022696,0.000277,0.004343,0.022680,0.000277,0.004183,0.023548,0.000288,0.004344,0.022675,0.000277,,0.004280,0.000076,0.023019,0.000411,0.000281,0.000005
7x7,2^{14},0.017333,0.022697,0.000278,0.017566,0.022396,0.000274,0.017463,0.022528,0.000276,0.017402,0.022607,0.000277,0.017363,0.022658,0.000277,,0.017425,0.000083,0.022577,0.000107,0.000276,0.000001
7x7,2^{16},0.070214,0.022404,0.000274,0.070187,0.022412,0.000275,0.070182,0.022414,0.000275,0.070193,0.022410,0.000274,0.070298,0.022377,0.000274,,0.070215,0.000043,0.022404,0.000014,0.000274,0.000000
7x7,2^{18},0.283333,0.022206,0.000272,0.282304,0.022287,0.000273,0.282587,0.022264,0.000273,0.282918,0.022238,0.000272,0.283396,0.022201,0.000272,,0.282908,0.000421,0.022239,0.000033,0.000272,0.000000
7x7,2^{20},1.135483,0.022163,0.000271,1.135228,0.022168,0.000272,1.135327,0.022166,0.000272,1.134296,0.022186,0.000272,1.134764,0.022177,0.000272,,1.135020,0.000434,0.022172,0.000008,0.000272,0.000000
7x7,2^{22},4.541303,0.022166,0.000272,4.542314,0.022161,0.000271,4.542546,0.022160,0.000271,4.542834,0.022159,0.000271,4.542914,0.022158,0.000271,,4.542382,0.000580,0.022161,0.000003,0.000271,0.000000
9x9,2^{12},0.006986,0.014118,0.000285,0.007073,0.013944,0.000281,0.006935,0.014222,0.000287,0.007093,0.013905,0.000281,0.006893,0.014308,0.000289,,0.006996,0.000077,0.014099,0.000155,0.000285,0.000003
9x9,2^{14},0.028610,0.013755,0.000278,0.028572,0.013774,0.000279,0.028773,0.013677,0.000277,0.028668,0.013727,0.000278,0.028585,0.013767,0.000279,,0.028642,0.000073,0.013740,0.000035,0.000278,0.000001
