Additional run info,,Matrix element datatype,float,kernel_size,3x3 to 7x7

kernel_size,matrix_size,exec_time-0,effective_bandwidth-0,flops-0,exec_time-1,effective_bandwidth-1,flops-1,exec_time-2,effective_bandwidth-2,flops-2,exec_time-3,effective_bandwidth-3,flops-3,exec_time-4,effective_bandwidth-4,flops-4,exec_time-5,effective_bandwidth-5,flops-5,exec_time-6,effective_bandwidth-6,flops-6,exec_time-7,effective_bandwidth-7,flops-7,exec_time-8,effective_bandwidth-8,flops-8,exec_time-9,effective_bandwidth-9,flops-9,,mean_exec_time,stdev_exec_time,mean_effective_bandwidth,stdev_effective_bandwidth,mean_flops,stdev_flops
3x3,2^{12},0.000018,51.853859,0.012281,0.000017,54.902293,0.013003,0.000017,54.902293,0.013003,0.000017,54.902293,0.013003,0.000018,51.853859,0.012281,0.000017,54.902293,0.013003,0.000017,54.902293,0.013003,0.000017,54.902293,0.013003,0.000016,58.331543,0.013815,0.000019,49.126144,0.011635,,0.000017,0.000001,54.057916,2.378651,0.012803,0.000563
3x3,2^{14},0.000019,196.504577,0.046541,0.000020,186.684258,0.044215,0.000018,207.415436,0.049125,0.000019,196.504577,0.046541,0.000019,196.504577,0.046541,0.000019,196.504577,0.046541,0.000019,196.504577,0.046541,0.000019,196.504577,0.046541,0.000019,196.504577,0.046541,0.000019,196.504577,0.046541,,0.000019,0.000000,196.613631,4.640761,0.046566,0.001099
3x3,2^{16},0.000030,497.907631,0.117925,0.000030,497.907631,0.117925,0.000031,481.851274,0.114123,0.000031,481.851274,0.114123,0.000031,481.851274,0.114123,0.000030,497.907631,0.117925,0.000030,497.907631,0.117925,0.000030,497.907631,0.117925,0.000029,515.070941,0.121990,0.000031,481.851274,0.114123,,0.000030,0.000001,493.201419,10.508669,0.116811,0.002489
3x3,2^{18},0.000074,807.577787,0.191268,0.000073,818.638981,0.193888,0.000077,776.117803,0.183817,0.000074,807.577787,0.191268,0.000075,796.811518,0.188719,0.000073,818.638981,0.193888,0.000075,796.811518,0.188719,0.000063,948.561054,0.224659,0.000062,963.857958,0.228282,0.000064,933.742103,0.221149,,0.000071,0.000005,846.833549,68.024492,0.200566,0.016111
3x3,2^{20},0.000206,1160.503510,0.274856,0.000203,1177.652963,0.278918,0.000204,1171.880437,0.277551,0.000204,1171.880437,0.277551,0.000207,1154.897483,0.273528,0.000205,1166.164226,0.276197,0.000205,1166.164226,0.276197,0.000207,1154.897483,0.273528,0.000202,1183.482639,0.280299,0.000205,1166.164226,0.276197,,0.000205,0.000002,1167.368763,8.767453,0.276482,0.002077
5x5,2^{12},0.000019,131.864913,0.032320,0.000020,125.274963,0.030705,0.000018,139.186674,0.034114,0.000017,147.369312,0.036120,0.000018,139.186674,0.034114,0.000018,139.186674,0.034114,0.000019,131.864913,0.032320,0.000018,139.186674,0.034114,0.000018,139.186674,0.034114,0.000018,139.186674,0.034114,,0.000018,0.000001,137.149415,5.711422,0.033615,0.001400
5x5,2^{14},0.000022,455.566015,0.111658,0.000021,477.249310,0.116973,0.000021,477.249310,0.116973,0.000022,455.566015,0.111658,0.000021,477.249310,0.116973,0.000021,477.249310,0.116973,0.000021,477.249310,0.116973,0.000020,501.099850,0.122819,0.000020,501.099850,0.122819,0.000021,477.249310,0.116973,,0.000021,0.000001,477.682759,14.408845,0.117079,0.003532
5x5,2^{16},0.000037,1083.707971,0.265615,0.000036,1113.802610,0.272991,0.000036,1113.802610,0.272991,0.000037,1083.707971,0.265615,0.000036,1113.802610,0.272991,0.000036,1113.802610,0.272991,0.000036,1113.802610,0.272991,0.000036,1113.802610,0.272991,0.000037,1083.707971,0.265615,0.000036,1113.802610,0.272991,,0.000036,0.000000,1104.774219,13.791096,0.270778,0.003380
5x5,2^{18},0.000105,1527.779526,0.374456,0.000104,1542.468301,0.378056,0.000105,1527.779526,0.374456,0.000104,1542.468301,0.378056,0.000105,1527.779526,0.374456,0.000104,1542.468301,0.378056,0.000104,1542.468301,0.378056,0.000104,1542.468301,0.378056,0.000104,1542.468301,0.378056,0.000105,1527.779526,0.374456,,0.000104,0.000000,1536.592791,7.196001,0.376616,0.001764
5x5,2^{20},0.000365,1758.112139,0.430910,0.000364,1762.941985,0.432094,0.000365,1758.112139,0.430910,0.000364,1762.941985,0.432094,0.000365,1758.112139,0.430910,0.000365,1758.112139,0.430910,0.000365,1758.112139,0.430910,0.000366,1753.308686,0.429733,0.000365,1758.112139,0.430910,0.000364,1762.941985,0.432094,,0.000365,0.000001,1759.080748,2.892635,0.431147,0.000709
7x7,2^{12},0.000024,202.667555,0.050155,0.000023,211.475359,0.052335,0.000024,202.667555,0.050155,0.000023,211.475359,0.052335,0.000024,202.667555,0.050155,0.000024,202.667555,0.050155,0.000024,202.667555,0.050155,0.000023,211.475359,0.052335,0.000024,202.667555,0.050155,0.000024,202.667555,0.050155,,0.000024,0.000000,205.309896,4.036243,0.050809,0.000999
7x7,2^{14},0.000030,648.590203,0.160510,0.000029,670.947673,0.166043,0.000030,648.590203,0.160510,0.000029,670.947673,0.166043,0.000025,778.256377,0.192599,0.000025,778.256377,0.192599,0.000025,778.256377,0.192599,0.000024,810.670221,0.200620,0.000024,810.670221,0.200620,0.000024,810.670221,0.200620,,0.000027,0.000002,740.585555,67.541108,0.183276,0.016715
7x7,2^{16},0.000046,1692.170572,0.418769,0.000046,1692.170572,0.418769,0.000045,1729.766008,0.428073,0.000046,1692.170572,0.418769,0.000045,1729.766008,0.428073,0.000046,1692.170572,0.418769,0.000046,1692.170572,0.418769,0.000045,1729.766008,0.428073,0.000045,1729.766008,0.428073,0.000048,1621.678150,0.401324,,0.000046,0.000001,1700.159504,31.598447,0.420747,0.007820
7x7,2^{18},0.000146,2132.916047,0.527843,0.000146,2132.916047,0.527843,0.000145,2147.624798,0.531483,0.000146,2132.916047,0.527843,0.000146,2132.916047,0.527843,0.000146,2132.916047,0.527843,0.000146,2132.916047,0.527843,0.000147,2118.407401,0.524252,0.000147,2118.407401,0.524252,0.000145,2147.624798,0.531483,,0.000146,0.000001,2132.956068,9.239482,0.527853,0.002287
7x7,2^{20},0.000505,2466.700240,0.610446,0.000505,2466.700240,0.610446,0.000505,2466.700240,0.610446,0.000504,2471.594389,0.611657,0.000504,2471.594389,0.611657,0.000505,2466.700240,0.610446,0.000505,2466.700240,0.610446,0.000505,2466.700240,0.610446,0.000504,2471.594389,0.611657,0.000505,2466.700240,0.610446,,0.000505,0.000000,2468.168484,2.242781,0.610809,0.000555
