Additional run info,,Matrix element datatype,float,kernel_size,3x3 to 9x9

kernel_size,matrix_size,exec_time-0,effective_bandwidth-0,flops-0,exec_time-1,effective_bandwidth-1,flops-1,exec_time-2,effective_bandwidth-2,flops-2,exec_time-3,effective_bandwidth-3,flops-3,exec_time-4,effective_bandwidth-4,flops-4,exec_time-5,effective_bandwidth-5,flops-5,exec_time-6,effective_bandwidth-6,flops-6,exec_time-7,effective_bandwidth-7,flops-7,exec_time-8,effective_bandwidth-8,flops-8,exec_time-9,effective_bandwidth-9,flops-9,exec_time-10,effective_bandwidth-10,flops-10,exec_time-11,effective_bandwidth-11,flops-11,exec_time-12,effective_bandwidth-12,flops-12,exec_time-13,effective_bandwidth-13,flops-13,exec_time-14,effective_bandwidth-14,flops-14,exec_time-15,effective_bandwidth-15,flops-15,exec_time-16,effective_bandwidth-16,flops-16,exec_time-17,effective_bandwidth-17,flops-17,exec_time-18,effective_bandwidth-18,flops-18,exec_time-19,effective_bandwidth-19,flops-19,exec_time-20,effective_bandwidth-20,flops-20,exec_time-21,effective_bandwidth-21,flops-21,exec_time-22,effective_bandwidth-22,flops-22,exec_time-23,effective_bandwidth-23,flops-23,exec_time-24,effective_bandwidth-24,flops-24,exec_time-25,effective_bandwidth-25,flops-25,exec_time-26,effective_bandwidth-26,flops-26,exec_time-27,effective_bandwidth-27,flops-27,exec_time-28,effective_bandwidth-28,flops-28,exec_time-29,effective_bandwidth-29,flops-29,exec_time-30,effective_bandwidth-30,flops-30,exec_time-31,effective_bandwidth-31,flops-31,exec_time-32,effective_bandwidth-32,flops-32,exec_time-33,effective_bandwidth-33,flops-33,exec_time-34,effective_bandwidth-34,flops-34,exec_time-35,effective_bandwidth-35,flops-35,exec_time-36,effective_bandwidth-36,flops-36,exec_time-37,effective_bandwidth-37,flops-37,exec_time-38,effective_bandwidth-38,flops-38,exec_time-39,effective_bandwidth-39,flops-39,exec_time-40,effective_bandwidth-40,flops-40,exec_time-41,effective_bandwidth-41,flops-41,exec_time-42,effective_bandwidth-42,flops-42,exec_time-43,effective_bandwidth-43,flops-43,exec_time-44,effective_bandwidth-44,flops-44,exec_time-45,effective_bandwidth-45,flops-45,exec_time-46,effective_bandwidth-46,flops-46,exec_time-47,effective_bandwidth-47,flops-47,exec_time-48,effective_bandwidth-48,flops-48,exec_time-49,effective_bandwidth-49,flops-49,,mean_exec_time,stdev_exec_time,mean_effective_bandwidth,stdev_effective_bandwidth,mean_flops,stdev_flops
3x3,2^{16},0.000038,41.381215,0.093106,0.000038,41.381215,0.093106,0.000038,41.381215,0.093106,0.000038,41.381215,0.093106,0.000038,41.381215,0.093106,0.000039,40.320431,0.090719,0.000038,41.381215,0.093106,0.000038,41.381215,0.093106,0.000038,41.381215,0.093106,0.000039,40.320431,0.090719,0.000039,40.320431,0.090719,0.000038,41.381215,0.093106,0.000039,40.320431,0.090719,0.000037,42.499325,0.095621,0.000038,41.381215,0.093106,0.000039,40.320431,0.090719,0.000038,41.381215,0.093106,0.000038,41.381215,0.093106,0.000042,37.441085,0.084241,0.000038,41.381215,0.093106,0.000038,41.381215,0.093106,0.000038,41.381215,0.093106,0.000038,41.381215,0.093106,0.000040,39.312672,0.088451,0.000038,41.381215,0.093106,0.000038,41.381215,0.093106,0.000040,39.312672,0.088451,0.000039,40.320431,0.090719,0.000039,40.320431,0.090719,0.000041,38.354060,0.086295,0.000040,39.312672,0.088451,0.000039,40.320431,0.090719,0.000038,41.381215,0.093106,0.000038,41.381215,0.093106,0.000040,39.312672,0.088451,0.000039,40.320431,0.090719,0.000038,41.381215,0.093106,0.000038,41.381215,0.093106,0.000038,41.381215,0.093106,0.000038,41.381215,0.093106,0.000038,41.381215,0.093106,0.000038,41.381215,0.093106,0.000039,40.320431,0.090719,0.000038,41.381215,0.093106,0.000038,41.381215,0.093106,0.000040,39.312672,0.088451,0.000039,40.320431,0.090719,0.000039,40.320431,0.090719,0.000038,41.381215,0.093106,0.000039,40.320431,0.090719,,0.000039,0.000001,40.781574,0.937899,0.091756,0.002110
3x3,2^{18},0.000109,57.714815,0.129858,0.000109,57.714815,0.129858,0.000108,58.249162,0.131060,0.000108,58.249162,0.131060,0.000107,58.793496,0.132285,0.000106,59.348099,0.133532,0.000107,58.793496,0.132285,0.000108,58.249162,0.131060,0.000107,58.793496,0.132285,0.000106,59.348099,0.133532,0.000108,58.249162,0.131060,0.000107,58.793496,0.132285,0.000107,58.793496,0.132285,0.000107,58.793496,0.132285,0.000107,58.793496,0.132285,0.000106,59.348099,0.133532,0.000106,59.348099,0.133532,0.000107,58.793496,0.132285,0.000108,58.249162,0.131060,0.000109,57.714815,0.129858,0.000107,58.793496,0.132285,0.000107,58.793496,0.132285,0.000108,58.249162,0.131060,0.000107,58.793496,0.132285,0.000072,87.369699,0.196581,0.000072,87.369699,0.196581,0.000072,87.369699,0.196581,0.000071,88.600084,0.199349,0.000073,86.173017,0.193888,0.000071,88.600084,0.199349,0.000072,87.369699,0.196581,0.000072,87.369699,0.196581,0.000073,86.173017,0.193888,0.000074,85.008675,0.191268,0.000072,87.369699,0.196581,0.000072,87.369699,0.196581,0.000072,87.369699,0.196581,0.000072,87.369699,0.196581,0.000072,87.369699,0.196581,0.000072,87.369699,0.196581,0.000072,87.369699,0.196581,0.000073,86.173017,0.193888,0.000074,85.008675,0.191268,0.000078,80.649814,0.181461,0.000072,87.369699,0.196581,0.000072,87.369699,0.196581,0.000072,87.369699,0.196581,0.000072,87.369699,0.196581,0.000072,87.369699,0.196581,0.000072,87.369699,0.196581,,0.000089,0.000017,73.316025,14.169012,0.164960,0.031880
3x3,2^{20},0.000247,101.881948,0.229234,0.000247,101.881948,0.229234,0.000249,101.063652,0.227393,0.000248,101.471150,0.228310,0.000247,101.881948,0.229234,0.000247,101.881948,0.229234,0.000247,101.881948,0.229234,0.000250,100.659414,0.226483,0.000249,101.063652,0.227393,0.000247,101.881948,0.229234,0.000248,101.471150,0.228310,0.000248,101.471150,0.228310,0.000249,101.063652,0.227393,0.000249,101.063652,0.227393,0.000249,101.063652,0.227393,0.000249,101.063652,0.227393,0.000249,101.063652,0.227393,0.000251,100.258396,0.225581,0.000250,100.659414,0.226483,0.000248,101.471150,0.228310,0.000251,100.258396,0.225581,0.000249,101.063652,0.227393,0.000249,101.063652,0.227393,0.000249,101.063652,0.227393,0.000250,100.659414,0.226483,0.000249,101.063652,0.227393,0.000249,101.063652,0.227393,0.000249,101.063652,0.227393,0.000248,101.471150,0.228310,0.000249,101.063652,0.227393,0.000249,101.063652,0.227393,0.000250,100.659414,0.226483,0.000247,101.881948,0.229234,0.000249,101.063652,0.227393,0.000247,101.881948,0.229234,0.000247,101.881948,0.229234,0.000249,101.063652,0.227393,0.000248,101.471150,0.228310,0.000247,101.881948,0.229234,0.000247,101.881948,0.229234,0.000247,101.881948,0.229234,0.000247,101.881948,0.229234,0.000247,101.881948,0.229234,0.000247,101.881948,0.229234,0.000247,101.881948,0.229234,0.000248,101.471150,0.228310,0.000249,101.063652,0.227393,0.000249,101.063652,0.227393,0.000248,101.471150,0.228310,0.000248,101.471150,0.228310,,0.000248,0.000001,101.334307,0.458171,0.228002,0.001031
3x3,2^{22},0.000955,105.405527,0.237162,0.000953,105.626732,0.237660,0.000954,105.516013,0.237411,0.000955,105.405527,0.237162,0.000953,105.626732,0.237660,0.000954,105.516013,0.237411,0.000954,105.516013,0.237411,0.000952,105.737683,0.237910,0.000952,105.737683,0.237910,0.000952,105.737683,0.237910,0.000954,105.516013,0.237411,0.000954,105.516013,0.237411,0.000953,105.626732,0.237660,0.000954,105.516013,0.237411,0.000953,105.626732,0.237660,0.000954,105.516013,0.237411,0.000954,105.516013,0.237411,0.000952,105.737683,0.237910,0.000951,105.848868,0.238160,0.000951,105.848868,0.238160,0.000952,105.737683,0.237910,0.000953,105.626732,0.237660,0.000954,105.516013,0.237411,0.000954,105.516013,0.237411,0.000953,105.626732,0.237660,0.000953,105.626732,0.237660,0.000955,105.405527,0.237162,0.000957,105.185246,0.236667,0.000958,105.075450,0.236420,0.000953,105.626732,0.237660,0.000952,105.737683,0.237910,0.000953,105.626732,0.237660,0.000951,105.848868,0.238160,0.000953,105.626732,0.237660,0.000953,105.626732,0.237660,0.000952,105.737683,0.237910,0.000952,105.737683,0.237910,0.000955,105.405527,0.237162,0.000952,105.737683,0.237910,0.000952,105.737683,0.237910,0.000952,105.737683,0.237910,0.000952,105.737683,0.237910,0.000951,105.848868,0.238160,0.000951,105.848868,0.238160,0.000955,105.405527,0.237162,0.000951,105.848868,0.238160,0.000952,105.737683,0.237910,0.000951,105.848868,0.238160,0.000952,105.737683,0.237910,0.000952,105.737683,0.237910,,0.000953,0.000002,105.626997,0.167100,0.237661,0.000376
3x3,2^{24},0.003754,107.259496,0.241334,0.003755,107.230931,0.241270,0.003755,107.230931,0.241270,0.003755,107.230931,0.241270,0.003766,106.917725,0.240565,0.003758,107.145330,0.241077,0.003755,107.230931,0.241270,0.003755,107.230931,0.241270,0.003754,107.259496,0.241334,0.003755,107.230931,0.241270,0.003755,107.230931,0.241270,0.003756,107.202382,0.241205,0.003754,107.259496,0.241334,0.003755,107.230931,0.241270,0.003754,107.259496,0.241334,0.003755,107.230931,0.241270,0.003756,107.202382,0.241205,0.003754,107.259496,0.241334,0.003754,107.259496,0.241334,0.003756,107.202382,0.241205,0.003756,107.202382,0.241205,0.003754,107.259496,0.241334,0.003755,107.230931,0.241270,0.003754,107.259496,0.241334,0.003755,107.230931,0.241270,0.003755,107.230931,0.241270,0.003754,107.259496,0.241334,0.003757,107.173848,0.241141,0.003754,107.259496,0.241334,0.003755,107.230931,0.241270,0.003755,107.230931,0.241270,0.003754,107.259496,0.241334,0.003754,107.259496,0.241334,0.003754,107.259496,0.241334,0.003756,107.202382,0.241205,0.003756,107.202382,0.241205,0.003754,107.259496,0.241334,0.003755,107.230931,0.241270,0.003755,107.230931,0.241270,0.003755,107.230931,0.241270,0.003755,107.230931,0.241270,0.003754,107.259496,0.241334,0.003754,107.259496,0.241334,0.003754,107.259496,0.241334,0.003756,107.202382,0.241205,0.003755,107.230931,0.241270,0.003754,107.259496,0.241334,0.003772,106.747654,0.240182,0.003757,107.173848,0.241141,0.003758,107.145330,0.241077,,0.003756,0.000003,107.215581,0.085022,0.241235,0.000191
3x3,2^{26},0.014974,107.560551,0.242011,0.014967,107.610857,0.242124,0.014972,107.574920,0.242044,0.014973,107.567735,0.242027,0.014977,107.539006,0.241963,0.019169,84.021698,0.189049,0.014970,107.589292,0.242076,0.014972,107.574920,0.242044,0.014972,107.574920,0.242044,0.014974,107.560551,0.242011,0.014969,107.596479,0.242092,0.014968,107.603668,0.242108,0.014972,107.574920,0.242044,0.014971,107.582105,0.242060,0.014968,107.603668,0.242108,0.014969,107.596479,0.242092,0.014970,107.589292,0.242076,0.014970,107.589292,0.242076,0.014966,107.618047,0.242141,0.014966,107.618047,0.242141,0.014968,107.603668,0.242108,0.014967,107.610857,0.242124,0.014972,107.574920,0.242044,0.014967,107.610857,0.242124,0.014970,107.589292,0.242076,0.014969,107.596479,0.242092,0.014969,107.596479,0.242092,0.014966,107.618047,0.242141,0.014967,107.610857,0.242124,0.014970,107.589292,0.242076,0.014968,107.603668,0.242108,0.014968,107.603668,0.242108,0.014968,107.603668,0.242108,0.014967,107.610857,0.242124,0.014967,107.610857,0.242124,0.014972,107.574920,0.242044,0.014970,107.589292,0.242076,0.015053,106.996061,0.240741,0.014967,107.610857,0.242124,0.014970,107.589292,0.242076,0.014969,107.596479,0.242092,0.014969,107.596479,0.242092,0.014973,107.567735,0.242027,0.014968,107.603668,0.242108,0.014974,107.560551,0.242011,0.014970,107.589292,0.242076,0.014969,107.596479,0.242092,0.014970,107.589292,0.242076,0.014970,107.589292,0.242076,0.014969,107.596479,0.242092,,0.015055,0.000588,107.108521,3.299216,0.240994,0.007423
3x3,2^{28},0.059846,107.650468,0.242214,0.059839,107.663061,0.242242,0.059837,107.666659,0.242250,0.059840,107.661262,0.242238,0.059836,107.668459,0.242254,0.059841,107.659463,0.242234,0.059839,107.663061,0.242242,0.059862,107.621695,0.242149,0.059856,107.632483,0.242173,0.059867,107.612707,0.242129,0.059870,107.607314,0.242116,0.059866,107.614504,0.242133,0.059855,107.634281,0.242177,0.059863,107.619897,0.242145,0.059859,107.627089,0.242161,0.059871,107.605517,0.242112,0.059864,107.618099,0.242141,0.059863,107.619897,0.242145,0.059854,107.636080,0.242181,0.059861,107.623493,0.242153,0.059865,107.616302,0.242137,0.059863,107.619897,0.242145,0.059854,107.636080,0.242181,0.059866,107.614504,0.242133,0.059853,107.637878,0.242185,0.059862,107.621695,0.242149,0.059847,107.648669,0.242210,0.059860,107.625291,0.242157,0.059864,107.618099,0.242141,0.059868,107.610909,0.242125,0.059858,107.628887,0.242165,0.059874,107.600125,0.242100,0.059864,107.618099,0.242141,0.059859,107.627089,0.242161,0.059857,107.630685,0.242169,0.059877,107.594734,0.242088,0.059868,107.610909,0.242125,0.059874,107.600125,0.242100,0.059867,107.612707,0.242129,0.059870,107.607314,0.242116,0.059860,107.625291,0.242157,0.059857,107.630685,0.242169,0.059856,107.632483,0.242173,0.059865,107.616302,0.242137,0.059860,107.625291,0.242157,0.059903,107.548034,0.241983,0.059869,107.609112,0.242120,0.059869,107.609112,0.242120,0.059877,107.594734,0.242088,0.059872,107.603720,0.242108,,0.059861,0.000012,107.623605,0.021497,0.242153,0.000048
5x5,2^{16},0.000056,28.083628,0.175512,0.000054,29.123570,0.182011,0.000056,28.083628,0.175512,0.000055,28.594147,0.178702,0.000055,28.594147,0.178702,0.000056,28.083628,0.175512,0.000056,28.083628,0.175512,0.000058,27.115394,0.169460,0.000056,28.083628,0.175512,0.000058,27.115394,0.169460,0.000056,28.083628,0.175512,0.000057,27.591019,0.172433,0.000053,29.672967,0.185444,0.000054,29.123570,0.182011,0.000053,29.672967,0.185444,0.000055,28.594147,0.178702,0.000054,29.123570,0.182011,0.000054,29.123570,0.182011,0.000054,29.123570,0.182011,0.000055,28.594147,0.178702,0.000054,29.123570,0.182011,0.000054,29.123570,0.182011,0.000054,29.123570,0.182011,0.000054,29.123570,0.182011,0.000053,29.672967,0.185444,0.000053,29.672967,0.185444,0.000054,29.123570,0.182011,0.000054,29.123570,0.182011,0.000054,29.123570,0.182011,0.000053,29.672967,0.185444,0.000053,29.672967,0.185444,0.000054,29.123570,0.182011,0.000054,29.123570,0.182011,0.000054,29.123570,0.182011,0.000055,28.594147,0.178702,0.000054,29.123570,0.182011,0.000054,29.123570,0.182011,0.000054,29.123570,0.182011,0.000054,29.123570,0.182011,0.000054,29.123570,0.182011,0.000053,29.672967,0.185444,0.000054,29.123570,0.182011,0.000053,29.672967,0.185444,0.000054,29.123570,0.182011,0.000054,29.123570,0.182011,0.000054,29.123570,0.182011,0.000054,29.123570,0.182011,0.000053,29.672967,0.185444,0.000054,29.123570,0.182011,0.000054,29.123570,0.182011,,0.000054,0.000001,28.933748,0.619992,0.180824,0.003875
5x5,2^{18},0.000165,38.128332,0.238298,0.000165,38.128332,0.238298,0.000164,38.360807,0.239751,0.000164,38.360807,0.239751,0.000165,38.128332,0.238298,0.000167,37.671732,0.235445,0.000167,37.671732,0.235445,0.000166,37.898657,0.236863,0.000168,37.447509,0.234043,0.000166,37.898657,0.236863,0.000168,37.447509,0.234043,0.000168,37.447509,0.234043,0.000166,37.898657,0.236863,0.000167,37.671732,0.235445,0.000167,37.671732,0.235445,0.000167,37.671732,0.235445,0.000166,37.898657,0.236863,0.000165,38.128332,0.238298,0.000166,37.898657,0.236863,0.000165,38.128332,0.238298,0.000166,37.898657,0.236863,0.000166,37.898657,0.236863,0.000165,38.128332,0.238298,0.000165,38.128332,0.238298,0.000162,38.834368,0.242711,0.000161,39.075561,0.244218,0.000163,38.596135,0.241222,0.000169,37.225939,0.232658,0.000164,38.360807,0.239751,0.000164,38.360807,0.239751,0.000165,38.128332,0.238298,0.000164,38.360807,0.239751,0.000163,38.596135,0.241222,0.000164,38.360807,0.239751,0.000164,38.360807,0.239751,0.000164,38.360807,0.239751,0.000163,38.596135,0.241222,0.000164,38.360807,0.239751,0.000165,38.128332,0.238298,0.000165,38.128332,0.238298,0.000166,37.898657,0.236863,0.000166,37.898657,0.236863,0.000162,38.834368,0.242711,0.000162,38.834368,0.242711,0.000162,38.834368,0.242711,0.000161,39.075561,0.244218,0.000164,38.360807,0.239751,0.000164,38.360807,0.239751,0.000164,38.360807,0.239751,0.000162,38.834368,0.242711,,0.000165,0.000002,38.174788,0.429095,0.238589,0.002682
5x5,2^{20},0.000599,42.012527,0.262577,0.000599,42.012527,0.262577,0.000598,42.082781,0.263016,0.000603,41.733842,0.260835,0.000603,41.733842,0.260835,0.000599,42.012527,0.262577,0.000599,42.012527,0.262577,0.000599,42.012527,0.262577,0.000599,42.012527,0.262577,0.000600,41.942508,0.262140,0.000599,42.012527,0.262577,0.000598,42.082781,0.263016,0.000599,42.012527,0.262577,0.000598,42.082781,0.263016,0.000600,41.942508,0.262140,0.000599,42.012527,0.262577,0.000600,41.942508,0.262140,0.000599,42.012527,0.262577,0.000599,42.012527,0.262577,0.000599,42.012527,0.262577,0.000599,42.012527,0.262577,0.000599,42.012527,0.262577,0.000599,42.012527,0.262577,0.000599,42.012527,0.262577,0.000600,41.942508,0.262140,0.000602,41.803166,0.261269,0.000602,41.803166,0.261269,0.000600,41.942508,0.262140,0.000602,41.803166,0.261269,0.000602,41.803166,0.261269,0.000602,41.803166,0.261269,0.000601,41.872721,0.261703,0.000603,41.733842,0.260835,0.000603,41.733842,0.260835,0.000601,41.872721,0.261703,0.000601,41.872721,0.261703,0.000601,41.872721,0.261703,0.000600,41.942508,0.262140,0.000597,42.153270,0.263457,0.000599,42.012527,0.262577,0.000599,42.012527,0.262577,0.000598,42.082781,0.263016,0.000596,42.223996,0.263899,0.000596,42.223996,0.263899,0.000597,42.153270,0.263457,0.000599,42.012527,0.262577,0.000599,42.012527,0.262577,0.000598,42.082781,0.263016,0.000599,42.012527,0.262577,0.000599,42.012527,0.262577,,0.000600,0.000002,41.970823,0.118676,0.262317,0.000742
