Additional run info,,Matrix element datatype,float,kernel_size,3x3 to 9x9

kernel_size,matrix_size,exec_time-0,effective_bandwidth-0,flops-0,exec_time-1,effective_bandwidth-1,flops-1,exec_time-2,effective_bandwidth-2,flops-2,exec_time-3,effective_bandwidth-3,flops-3,exec_time-4,effective_bandwidth-4,flops-4,exec_time-5,effective_bandwidth-5,flops-5,exec_time-6,effective_bandwidth-6,flops-6,exec_time-7,effective_bandwidth-7,flops-7,exec_time-8,effective_bandwidth-8,flops-8,exec_time-9,effective_bandwidth-9,flops-9,exec_time-10,effective_bandwidth-10,flops-10,exec_time-11,effective_bandwidth-11,flops-11,exec_time-12,effective_bandwidth-12,flops-12,exec_time-13,effective_bandwidth-13,flops-13,exec_time-14,effective_bandwidth-14,flops-14,exec_time-15,effective_bandwidth-15,flops-15,exec_time-16,effective_bandwidth-16,flops-16,exec_time-17,effective_bandwidth-17,flops-17,exec_time-18,effective_bandwidth-18,flops-18,exec_time-19,effective_bandwidth-19,flops-19,exec_time-20,effective_bandwidth-20,flops-20,exec_time-21,effective_bandwidth-21,flops-21,exec_time-22,effective_bandwidth-22,flops-22,exec_time-23,effective_bandwidth-23,flops-23,exec_time-24,effective_bandwidth-24,flops-24,exec_time-25,effective_bandwidth-25,flops-25,exec_time-26,effective_bandwidth-26,flops-26,exec_time-27,effective_bandwidth-27,flops-27,exec_time-28,effective_bandwidth-28,flops-28,exec_time-29,effective_bandwidth-29,flops-29,exec_time-30,effective_bandwidth-30,flops-30,exec_time-31,effective_bandwidth-31,flops-31,exec_time-32,effective_bandwidth-32,flops-32,exec_time-33,effective_bandwidth-33,flops-33,exec_time-34,effective_bandwidth-34,flops-34,exec_time-35,effective_bandwidth-35,flops-35,exec_time-36,effective_bandwidth-36,flops-36,exec_time-37,effective_bandwidth-37,flops-37,exec_time-38,effective_bandwidth-38,flops-38,exec_time-39,effective_bandwidth-39,flops-39,exec_time-40,effective_bandwidth-40,flops-40,exec_time-41,effective_bandwidth-41,flops-41,exec_time-42,effective_bandwidth-42,flops-42,exec_time-43,effective_bandwidth-43,flops-43,exec_time-44,effective_bandwidth-44,flops-44,exec_time-45,effective_bandwidth-45,flops-45,exec_time-46,effective_bandwidth-46,flops-46,exec_time-47,effective_bandwidth-47,flops-47,exec_time-48,effective_bandwidth-48,flops-48,exec_time-49,effective_bandwidth-49,flops-49,,mean_exec_time,stdev_exec_time,mean_effective_bandwidth,stdev_effective_bandwidth,mean_flops,stdev_flops
3x3,2^{16},0.000023,68.357236,0.153800,0.000023,68.357236,0.153800,0.000023,68.357236,0.153800,0.000025,62.890844,0.141501,0.000026,60.472895,0.136061,0.000026,60.472895,0.136061,0.000026,60.472895,0.136061,0.000022,71.462971,0.160788,0.000023,68.357236,0.153800,0.000023,68.357236,0.153800,0.000027,58.233987,0.131023,0.000025,62.890844,0.141501,0.000025,62.890844,0.141501,0.000025,62.890844,0.141501,0.000023,68.357236,0.153800,0.000023,68.357236,0.153800,0.000025,62.890844,0.141501,0.000030,52.412529,0.117925,0.000026,60.472895,0.136061,0.000026,60.472895,0.136061,0.000027,58.233987,0.131023,0.000022,71.462971,0.160788,0.000022,71.462971,0.160788,0.000023,68.357236,0.153800,0.000026,60.472895,0.136061,0.000025,62.890844,0.141501,0.000026,60.472895,0.136061,0.000027,58.233987,0.131023,0.000024,65.510204,0.147395,0.000022,71.462971,0.160788,0.000025,62.890844,0.141501,0.000026,60.472895,0.136061,0.000026,60.472895,0.136061,0.000025,62.890844,0.141501,0.000026,60.472895,0.136061,0.000024,65.510204,0.147395,0.000023,68.357236,0.153800,0.000025,62.890844,0.141501,0.000025,62.890844,0.141501,0.000024,65.510204,0.147395,0.000027,58.233987,0.131023,0.000027,58.233987,0.131023,0.000023,68.357236,0.153800,0.000023,68.357236,0.153800,0.000025,62.890844,0.141501,0.000026,60.472895,0.136061,0.000024,65.510204,0.147395,0.000025,62.890844,0.141501,0.000026,60.472895,0.136061,0.000021,74.864350,0.168441,,0.000025,0.000002,63.972680,4.523928,0.143935,0.010179
3x3,2^{18},0.000043,146.279749,0.329128,0.000046,136.741839,0.307667,0.000047,133.833057,0.301123,0.000043,146.279749,0.329128,0.000045,139.779871,0.314503,0.000046,136.741839,0.307667,0.000045,139.779871,0.314503,0.000043,146.279749,0.329128,0.000046,136.741839,0.307667,0.000046,136.741839,0.307667,0.000046,136.741839,0.307667,0.000046,136.741839,0.307667,0.000046,136.741839,0.307667,0.000044,142.955965,0.321649,0.000044,142.955965,0.321649,0.000045,139.779871,0.314503,0.000046,136.741839,0.307667,0.000042,149.761771,0.336962,0.000044,142.955965,0.321649,0.000046,136.741839,0.307667,0.000046,136.741839,0.307667,0.000043,146.279749,0.329128,0.000047,133.833057,0.301123,0.000046,136.741839,0.307667,0.000043,146.279749,0.329128,0.000045,139.779871,0.314503,0.000047,133.833057,0.301123,0.000046,136.741839,0.307667,0.000043,146.279749,0.329128,0.000047,133.833057,0.301123,0.000046,136.741839,0.307667,0.000043,146.279749,0.329128,0.000042,149.761771,0.336962,0.000045,139.779871,0.314503,0.000045,139.779871,0.314503,0.000046,136.741839,0.307667,0.000047,133.833057,0.301123,0.000046,136.741839,0.307667,0.000043,146.279749,0.329128,0.000046,136.741839,0.307667,0.000046,136.741839,0.307667,0.000053,118.685003,0.267040,0.000042,149.761771,0.336962,0.000047,133.833057,0.301123,0.000047,133.833057,0.301123,0.000044,142.955965,0.321649,0.000045,139.779871,0.314503,0.000046,136.741839,0.307667,0.000046,136.741839,0.307667,0.000044,142.955965,0.321649,,0.000045,0.000002,139.327471,5.558805,0.313485,0.012507
3x3,2^{20},0.000123,204.583855,0.460313,0.000123,204.583855,0.460313,0.000122,206.260634,0.464086,0.000119,211.460045,0.475784,0.000123,204.583855,0.460313,0.000123,204.583855,0.460313,0.000122,206.260634,0.464086,0.000123,204.583855,0.460313,0.000123,204.583855,0.460313,0.000120,209.698025,0.471820,0.000120,209.698025,0.471820,0.000123,204.583855,0.460313,0.000123,204.583855,0.460313,0.000121,207.965127,0.467921,0.000124,202.934118,0.456601,0.000124,202.934118,0.456601,0.000121,207.965127,0.467921,0.000120,209.698025,0.471820,0.000123,204.583855,0.460313,0.000123,204.583855,0.460313,0.000122,206.260634,0.464086,0.000122,206.260634,0.464086,0.000122,206.260634,0.464086,0.000122,206.260634,0.464086,0.000120,209.698025,0.471820,0.000123,204.583855,0.460313,0.000123,204.583855,0.460313,0.000127,198.140776,0.445816,0.000122,206.260634,0.464086,0.000123,204.583855,0.460313,0.000124,202.934118,0.456601,0.000120,209.698025,0.471820,0.000124,202.934118,0.456601,0.000123,204.583855,0.460313,0.000123,204.583855,0.460313,0.000123,204.583855,0.460313,0.000123,204.583855,0.460313,0.000124,202.934118,0.456601,0.000120,209.698025,0.471820,0.000123,204.583855,0.460313,0.000123,204.583855,0.460313,0.000121,207.965127,0.467921,0.000120,209.698025,0.471820,0.000123,204.583855,0.460313,0.000124,202.934118,0.456601,0.000120,209.698025,0.471820,0.000123,204.583855,0.460313,0.000123,204.583855,0.460313,0.000120,209.698025,0.471820,0.000124,202.934118,0.456601,,0.000122,0.000002,205.719730,2.579569,0.462869,0.005804
3x3,2^{22},0.000436,230.873907,0.519466,0.000436,230.873907,0.519466,0.000432,233.011578,0.524276,0.000434,231.937817,0.521860,0.000435,231.404639,0.520660,0.000435,231.404639,0.520660,0.000432,233.011578,0.524276,0.000436,230.873907,0.519466,0.000436,230.873907,0.519466,0.000432,233.011578,0.524276,0.000435,231.404639,0.520660,0.000435,231.404639,0.520660,0.000435,231.404639,0.520660,0.000432,233.011578,0.524276,0.000435,231.404639,0.520660,0.000436,230.873907,0.519466,0.000432,233.011578,0.524276,0.000433,232.473458,0.523065,0.000434,231.937817,0.521860,0.000435,231.404639,0.520660,0.000433,232.473458,0.523065,0.000437,230.345603,0.518277,0.000435,231.404639,0.520660,0.000432,233.011578,0.524276,0.000432,233.011578,0.524276,0.000434,231.937817,0.521860,0.000435,231.404639,0.520660,0.000435,231.404639,0.520660,0.000435,231.404639,0.520660,0.000436,230.873907,0.519466,0.000434,231.937817,0.521860,0.000432,233.011578,0.524276,0.000435,231.404639,0.520660,0.000436,230.873907,0.519466,0.000435,231.404639,0.520660,0.000435,231.404639,0.520660,0.000435,231.404639,0.520660,0.000433,232.473458,0.523065,0.000432,233.011578,0.524276,0.000436,230.873907,0.519466,0.000436,230.873907,0.519466,0.000435,231.404639,0.520660,0.000435,231.404639,0.520660,0.000435,231.404639,0.520660,0.000435,231.404639,0.520660,0.000432,233.011578,0.524276,0.000436,230.873907,0.519466,0.000434,231.937817,0.521860,0.000434,231.937817,0.521860,0.000435,231.404639,0.520660,,0.000434,0.000001,231.726810,0.770765,0.521385,0.001734
3x3,2^{24},0.001668,241.397366,0.543144,0.001671,240.963980,0.542169,0.001668,241.397366,0.543144,0.001670,241.108269,0.542494,0.001667,241.542174,0.543470,0.001671,240.963980,0.542169,0.001667,241.542174,0.543470,0.001671,240.963980,0.542169,0.001667,241.542174,0.543470,0.001670,241.108269,0.542494,0.001668,241.397366,0.543144,0.001670,241.108269,0.542494,0.001669,241.252731,0.542819,0.001669,241.252731,0.542819,0.001672,240.819864,0.541845,0.001671,240.963980,0.542169,0.001670,241.108269,0.542494,0.001671,240.963980,0.542169,0.001670,241.108269,0.542494,0.001670,241.108269,0.542494,0.001670,241.108269,0.542494,0.001670,241.108269,0.542494,0.001669,241.252731,0.542819,0.001670,241.108269,0.542494,0.001670,241.108269,0.542494,0.001671,240.963980,0.542169,0.001670,241.108269,0.542494,0.001671,240.963980,0.542169,0.001672,240.819864,0.541845,0.001671,240.963980,0.542169,0.001669,241.252731,0.542819,0.001671,240.963980,0.542169,0.001670,241.108269,0.542494,0.001670,241.108269,0.542494,0.001670,241.108269,0.542494,0.001670,241.108269,0.542494,0.001671,240.963980,0.542169,0.001671,240.963980,0.542169,0.001670,241.108269,0.542494,0.001671,240.963980,0.542169,0.001671,240.963980,0.542169,0.001671,240.963980,0.542169,0.001670,241.108269,0.542494,0.001669,241.252731,0.542819,0.001671,240.963980,0.542169,0.001668,241.397366,0.543144,0.001670,241.108269,0.542494,0.001668,241.397366,0.543144,0.001672,240.819864,0.541845,0.001668,241.397366,0.543144,,0.001670,0.000001,241.122850,0.185571,0.542526,0.000418
3x3,2^{26},0.006619,243.331370,0.547496,0.006617,243.404917,0.547661,0.006617,243.404917,0.547661,0.006616,243.441708,0.547744,0.006619,243.331370,0.547496,0.006619,243.331370,0.547496,0.006619,243.331370,0.547496,0.006619,243.331370,0.547496,0.006618,243.368138,0.547578,0.006620,243.294613,0.547413,0.006622,243.221133,0.547248,0.006618,243.368138,0.547578,0.006623,243.184409,0.547165,0.006628,243.000957,0.546752,0.006621,243.257867,0.547330,0.006619,243.331370,0.547496,0.006621,243.257867,0.547330,0.006621,243.257867,0.547330,0.006623,243.184409,0.547165,0.006620,243.294613,0.547413,0.006622,243.221133,0.547248,0.006622,243.221133,0.547248,0.006616,243.441708,0.547744,0.006620,243.294613,0.547413,0.006621,243.257867,0.547330,0.006621,243.257867,0.547330,0.006622,243.221133,0.547248,0.006621,243.257867,0.547330,0.006622,243.221133,0.547248,0.006622,243.221133,0.547248,0.006619,243.331370,0.547496,0.006618,243.368138,0.547578,0.006622,243.221133,0.547248,0.006621,243.257867,0.547330,0.006623,243.184409,0.547165,0.006622,243.221133,0.547248,0.006617,243.404917,0.547661,0.006620,243.294613,0.547413,0.006622,243.221133,0.547248,0.006620,243.294613,0.547413,0.006621,243.257867,0.547330,0.006620,243.294613,0.547413,0.006621,243.257867,0.547330,0.006623,243.184409,0.547165,0.006623,243.184409,0.547165,0.006624,243.147696,0.547082,0.006619,243.331370,0.547496,0.006621,243.257867,0.547330,0.006622,243.221133,0.547248,0.006620,243.294613,0.547413,,0.006621,0.000002,243.275531,0.080577,0.547370,0.000181
3x3,2^{28},0.026431,243.745925,0.548428,0.026785,240.524494,0.541180,0.026518,242.946246,0.546629,0.026569,242.479903,0.545580,0.026501,243.102092,0.546980,0.026406,243.976692,0.548948,0.026428,243.773594,0.548491,0.026423,243.819723,0.548594,0.026460,243.478781,0.547827,0.026484,243.258139,0.547331,0.026507,243.047065,0.546856,0.026611,242.097199,0.544719,0.026430,243.755147,0.548449,0.026421,243.838180,0.548636,0.026452,243.552417,0.547993,0.026617,242.042625,0.544596,0.026407,243.967453,0.548927,0.026700,241.290209,0.542903,0.026560,242.562069,0.545765,0.026610,242.106297,0.544739,0.026549,242.662569,0.545991,0.026614,242.069909,0.544657,0.026464,243.441980,0.547744,0.026461,243.469580,0.547807,0.026456,243.515594,0.547910,0.026506,243.056234,0.546877,0.026551,242.644290,0.545950,0.026666,241.597861,0.543595,0.026559,242.571202,0.545785,0.026615,242.060814,0.544637,0.026456,243.515594,0.547910,0.026454,243.534004,0.547952,0.026470,243.386798,0.547620,0.026545,242.699136,0.546073,0.026569,242.479903,0.545580,0.026535,242.790599,0.546279,0.026705,241.245032,0.542801,0.026437,243.690606,0.548304,0.026452,243.552417,0.547993,0.026457,243.506389,0.547889,0.026468,243.405189,0.547662,0.026705,241.245032,0.542801,0.026522,242.909605,0.546547,0.026601,242.188209,0.544923,0.026549,242.662569,0.545991,0.026619,242.024440,0.544555,0.026449,243.580043,0.548055,0.026456,243.515594,0.547910,0.026496,243.147968,0.547083,0.026709,241.208902,0.542720,,0.026528,0.000092,242.854846,0.842044,0.546423,0.001895
5x5,2^{16},0.000039,40.322071,0.251997,0.000039,40.322071,0.251997,0.000038,41.382899,0.258627,0.000039,40.322071,0.251997,0.000038,41.382899,0.258627,0.000039,40.322071,0.251997,0.000035,44.928992,0.280788,0.000038,41.382899,0.258627,0.000039,40.322071,0.251997,0.000038,41.382899,0.258627,0.000039,40.322071,0.251997,0.000035,44.928992,0.280788,0.000036,43.681311,0.272991,0.000037,42.501054,0.265615,0.000040,39.314271,0.245699,0.000039,40.322071,0.251997,0.000038,41.382899,0.258627,0.000039,40.322071,0.251997,0.000036,43.681311,0.272991,0.000035,44.928992,0.280788,0.000037,42.501054,0.265615,0.000039,40.322071,0.251997,0.000039,40.322071,0.251997,0.000039,40.322071,0.251997,0.000039,40.322071,0.251997,0.000037,42.501054,0.265615,0.000036,43.681311,0.272991,0.000037,42.501054,0.265615,0.000038,41.382899,0.258627,0.000039,40.322071,0.251997,0.000039,40.322071,0.251997,0.000040,39.314271,0.245699,0.000037,42.501054,0.265615,0.000037,42.501054,0.265615,0.000035,44.928992,0.280788,0.000040,39.314271,0.245699,0.000038,41.382899,0.258627,0.000039,40.322071,0.251997,0.000038,41.382899,0.258627,0.000038,41.382899,0.258627,0.000037,42.501054,0.265615,0.000035,44.928992,0.280788,0.000039,40.322071,0.251997,0.000039,40.322071,0.251997,0.000039,40.322071,0.251997,0.000037,42.501054,0.265615,0.000038,41.382899,0.258627,0.000036,43.681311,0.272991,0.000036,43.681311,0.272991,0.000038,41.382899,0.258627,,0.000038,0.000001,41.640239,1.606688,0.260235,0.010041
5x5,2^{18},0.000088,71.486831,0.446786,0.000088,71.486831,0.446786,0.000085,74.009599,0.462553,0.000089,70.683698,0.441766,0.000087,72.308424,0.451920,0.000085,74.009599,0.462553,0.000087,72.308424,0.451920,0.000088,71.486831,0.446786,0.000087,72.308424,0.451920,0.000085,74.009599,0.462553,0.000089,70.683698,0.441766,0.000088,71.486831,0.446786,0.000085,74.009599,0.462553,0.000086,73.149122,0.457175,0.000090,69.898411,0.436858,0.000086,73.149122,0.457175,0.000085,74.009599,0.462553,0.000087,72.308424,0.451920,0.000088,71.486831,0.446786,0.000086,73.149122,0.457175,0.000088,71.486831,0.446786,0.000089,70.683698,0.441766,0.000087,72.308424,0.451920,0.000085,74.009599,0.462553,0.000089,70.683698,0.441766,0.000088,71.486831,0.446786,0.000087,72.308424,0.451920,0.000088,71.486831,0.446786,0.000089,70.683698,0.441766,0.000085,74.009599,0.462553,0.000084,74.890561,0.468059,0.000087,72.308424,0.451920,0.000088,71.486831,0.446786,0.000086,73.149122,0.457175,0.000088,71.486831,0.446786,0.000088,71.486831,0.446786,0.000086,73.149122,0.457175,0.000087,72.308424,0.451920,0.000088,71.486831,0.446786,0.000088,71.486831,0.446786,0.000084,74.890561,0.468059,0.000088,71.486831,0.446786,0.000088,71.486831,0.446786,0.000085,74.009599,0.462553,0.000087,72.308424,0.451920,0.000088,71.486831,0.446786,0.000086,73.149122,0.457175,0.000084,74.890561,0.468059,0.000089,70.683698,0.441766,0.000087,72.308424,0.451920,,0.000087,0.000002,72.330347,1.263469,0.452057,0.007897
5x5,2^{20},0.000276,91.177581,0.569858,0.000274,91.843086,0.574017,0.000277,90.848431,0.567800,0.000277,90.848431,0.567800,0.000277,90.848431,0.567800,0.000277,90.848431,0.567800,0.000277,90.848431,0.567800,0.000276,91.177581,0.569858,0.000275,91.509123,0.571930,0.000279,90.197212,0.563730,0.000278,90.521650,0.565758,0.000277,90.848431,0.567800,0.000279,90.197212,0.563730,0.000277,90.848431,0.567800,0.000277,90.848431,0.567800,0.000274,91.843086,0.574017,0.000279,90.197212,0.563730,0.000278,90.521650,0.565758,0.000279,90.197212,0.563730,0.000278,90.521650,0.565758,0.000278,90.521650,0.565758,0.000279,90.197212,0.563730,0.000274,91.843086,0.574017,0.000278,90.521650,0.565758,0.000277,90.848431,0.567800,0.000276,91.177581,0.569858,0.000276,91.177581,0.569858,0.000278,90.521650,0.565758,0.000280,89.875090,0.561717,0.000275,91.509123,0.571930,0.000278,90.521650,0.565758,0.000277,90.848431,0.567800,0.000278,90.521650,0.565758,0.000277,90.848431,0.567800,0.000278,90.521650,0.565758,0.000276,91.177581,0.569858,0.000274,91.843086,0.574017,0.000278,90.521650,0.565758,0.000278,90.521650,0.565758,0.000276,91.177581,0.569858,0.000277,90.848431,0.567800,0.000278,90.521650,0.565758,0.000278,90.521650,0.565758,0.000274,91.843086,0.574017,0.000279,90.197212,0.563730,0.000278,90.521650,0.565758,0.000275,91.509123,0.571930,0.000277,90.848431,0.567800,0.000278,90.521650,0.565758,0.000278,90.521650,0.565758,,0.000277,0.000001,90.824853,0.491507,0.567653,0.003072
