Additional run info,,Matrix element datatype,float,kernel_size,3x3 to 9x9

kernel_size,matrix_size,exec_time-0,effective_bandwidth-0,flops-0,exec_time-1,effective_bandwidth-1,flops-1,exec_time-2,effective_bandwidth-2,flops-2,exec_time-3,effective_bandwidth-3,flops-3,exec_time-4,effective_bandwidth-4,flops-4,exec_time-5,effective_bandwidth-5,flops-5,exec_time-6,effective_bandwidth-6,flops-6,exec_time-7,effective_bandwidth-7,flops-7,exec_time-8,effective_bandwidth-8,flops-8,exec_time-9,effective_bandwidth-9,flops-9,exec_time-10,effective_bandwidth-10,flops-10,exec_time-11,effective_bandwidth-11,flops-11,exec_time-12,effective_bandwidth-12,flops-12,exec_time-13,effective_bandwidth-13,flops-13,exec_time-14,effective_bandwidth-14,flops-14,exec_time-15,effective_bandwidth-15,flops-15,exec_time-16,effective_bandwidth-16,flops-16,exec_time-17,effective_bandwidth-17,flops-17,exec_time-18,effective_bandwidth-18,flops-18,exec_time-19,effective_bandwidth-19,flops-19,exec_time-20,effective_bandwidth-20,flops-20,exec_time-21,effective_bandwidth-21,flops-21,exec_time-22,effective_bandwidth-22,flops-22,exec_time-23,effective_bandwidth-23,flops-23,exec_time-24,effective_bandwidth-24,flops-24,exec_time-25,effective_bandwidth-25,flops-25,exec_time-26,effective_bandwidth-26,flops-26,exec_time-27,effective_bandwidth-27,flops-27,exec_time-28,effective_bandwidth-28,flops-28,exec_time-29,effective_bandwidth-29,flops-29,exec_time-30,effective_bandwidth-30,flops-30,exec_time-31,effective_bandwidth-31,flops-31,exec_time-32,effective_bandwidth-32,flops-32,exec_time-33,effective_bandwidth-33,flops-33,exec_time-34,effective_bandwidth-34,flops-34,exec_time-35,effective_bandwidth-35,flops-35,exec_time-36,effective_bandwidth-36,flops-36,exec_time-37,effective_bandwidth-37,flops-37,exec_time-38,effective_bandwidth-38,flops-38,exec_time-39,effective_bandwidth-39,flops-39,exec_time-40,effective_bandwidth-40,flops-40,exec_time-41,effective_bandwidth-41,flops-41,exec_time-42,effective_bandwidth-42,flops-42,exec_time-43,effective_bandwidth-43,flops-43,exec_time-44,effective_bandwidth-44,flops-44,exec_time-45,effective_bandwidth-45,flops-45,exec_time-46,effective_bandwidth-46,flops-46,exec_time-47,effective_bandwidth-47,flops-47,exec_time-48,effective_bandwidth-48,flops-48,exec_time-49,effective_bandwidth-49,flops-49,,mean_exec_time,stdev_exec_time,mean_effective_bandwidth,stdev_effective_bandwidth,mean_flops,stdev_flops
3x3,2^{16},0.000021,74.864350,0.168441,0.000022,71.462971,0.160788,0.000022,71.462971,0.160788,0.000018,87.334814,0.196499,0.000019,82.740663,0.186162,0.000020,78.605697,0.176859,0.000022,71.462971,0.160788,0.000022,71.462971,0.160788,0.000023,68.357236,0.153800,0.000020,78.605697,0.176859,0.000018,87.334814,0.196499,0.000019,82.740663,0.186162,0.000022,71.462971,0.160788,0.000021,74.864350,0.168441,0.000021,74.864350,0.168441,0.000025,62.890844,0.141501,0.000020,78.605697,0.176859,0.000021,74.864350,0.168441,0.000018,87.334814,0.196499,0.000021,74.864350,0.168441,0.000021,74.864350,0.168441,0.000022,71.462971,0.160788,0.000021,74.864350,0.168441,0.000022,71.462971,0.160788,0.000024,65.510204,0.147395,0.000018,87.334814,0.196499,0.000020,78.605697,0.176859,0.000021,74.864350,0.168441,0.000021,74.864350,0.168441,0.000020,78.605697,0.176859,0.000020,78.605697,0.176859,0.000019,82.740663,0.186162,0.000019,82.740663,0.186162,0.000021,74.864350,0.168441,0.000022,71.462971,0.160788,0.000022,71.462971,0.160788,0.000021,74.864350,0.168441,0.000022,71.462971,0.160788,0.000019,82.740663,0.186162,0.000019,82.740663,0.186162,0.000020,78.605697,0.176859,0.000021,74.864350,0.168441,0.000021,74.864350,0.168441,0.000020,78.605697,0.176859,0.000021,74.864350,0.168441,0.000018,87.334814,0.196499,0.000018,87.334814,0.196499,0.000019,82.740663,0.186162,0.000022,71.462971,0.160788,0.000022,71.462971,0.160788,,0.000021,0.000002,76.689079,5.873446,0.172546,0.013215
3x3,2^{18},0.000034,184.989474,0.416224,0.000032,196.547704,0.442230,0.000033,190.593517,0.428833,0.000034,184.989474,0.416224,0.000034,184.989474,0.416224,0.000032,196.547704,0.442230,0.000035,179.705570,0.404335,0.000036,174.715135,0.393107,0.000033,190.593517,0.428833,0.000030,209.646518,0.471702,0.000035,179.705570,0.404335,0.000033,190.593517,0.428833,0.000033,190.593517,0.428833,0.000032,196.547704,0.442230,0.000035,179.705570,0.404335,0.000035,179.705570,0.404335,0.000031,202.885908,0.456491,0.000034,184.989474,0.416224,0.000036,174.715135,0.393107,0.000032,196.547704,0.442230,0.000034,184.989474,0.416224,0.000036,174.715135,0.393107,0.000032,196.547704,0.442230,0.000031,202.885908,0.456491,0.000034,184.989474,0.416224,0.000035,179.705570,0.404335,0.000033,190.593517,0.428833,0.000033,190.593517,0.428833,0.000035,179.705570,0.404335,0.000035,179.705570,0.404335,0.000031,202.885908,0.456491,0.000035,179.705570,0.404335,0.000034,184.989474,0.416224,0.000031,202.885908,0.456491,0.000034,184.989474,0.416224,0.000035,179.705570,0.404335,0.000032,196.547704,0.442230,0.000030,209.646518,0.471702,0.000034,184.989474,0.416224,0.000034,184.989474,0.416224,0.000034,184.989474,0.416224,0.000033,190.593517,0.428833,0.000035,179.705570,0.404335,0.000036,174.715135,0.393107,0.000032,196.547704,0.442230,0.000035,179.705570,0.404335,0.000034,184.989474,0.416224,0.000031,202.885908,0.456491,0.000032,196.547704,0.442230,0.000035,179.705570,0.404335,,0.000033,0.000002,188.309198,9.286749,0.423693,0.020895
3x3,2^{20},0.000083,303.166606,0.682124,0.000081,310.651278,0.698964,0.000084,299.557910,0.674004,0.000084,299.557910,0.674004,0.000085,296.034114,0.666076,0.000079,318.514872,0.716657,0.000084,299.557910,0.674004,0.000084,299.557910,0.674004,0.000081,310.651278,0.698964,0.000083,303.166606,0.682124,0.000083,303.166606,0.682124,0.000085,296.034114,0.666076,0.000081,310.651278,0.698964,0.000084,299.557910,0.674004,0.000083,303.166606,0.682124,0.000082,306.863309,0.690441,0.000084,299.557910,0.674004,0.000084,299.557910,0.674004,0.000084,299.557910,0.674004,0.000080,314.533933,0.707700,0.000083,303.166606,0.682124,0.000083,303.166606,0.682124,0.000083,303.166606,0.682124,0.000084,299.557910,0.674004,0.000083,303.166606,0.682124,0.000083,303.166606,0.682124,0.000080,314.533933,0.707700,0.000083,303.166606,0.682124,0.000083,303.166606,0.682124,0.000080,314.533933,0.707700,0.000083,303.166606,0.682124,0.000085,296.034114,0.666076,0.000084,299.557910,0.674004,0.000081,310.651278,0.698964,0.000084,299.557910,0.674004,0.000084,299.557910,0.674004,0.000081,310.651278,0.698964,0.000081,310.651278,0.698964,0.000083,303.166606,0.682124,0.000084,299.557910,0.674004,0.000080,314.533933,0.707700,0.000084,299.557910,0.674004,0.000083,303.166606,0.682124,0.000080,314.533933,0.707700,0.000085,296.034114,0.666076,0.000084,299.557910,0.674004,0.000081,310.651278,0.698964,0.000080,314.533933,0.707700,0.000083,303.166606,0.682124,0.000083,303.166606,0.682124,,0.000083,0.000002,304.306231,5.917038,0.684688,0.013313
3x3,2^{22},0.000280,359.499061,0.808873,0.000276,364.709003,0.820595,0.000279,360.787542,0.811772,0.000280,359.499061,0.808873,0.000280,359.499061,0.808873,0.000279,360.787542,0.811772,0.000281,358.219750,0.805994,0.000280,359.499061,0.808873,0.000277,363.392412,0.817633,0.000282,356.949512,0.803136,0.000281,358.219750,0.805994,0.000277,363.392412,0.817633,0.000281,358.219750,0.805994,0.000280,359.499061,0.808873,0.000280,359.499061,0.808873,0.000277,363.392412,0.817633,0.000281,358.219750,0.805994,0.000281,358.219750,0.805994,0.000275,366.035170,0.823579,0.000279,360.787542,0.811772,0.000280,359.499061,0.808873,0.000281,358.219750,0.805994,0.000277,363.392412,0.817633,0.000280,359.499061,0.808873,0.000281,358.219750,0.805994,0.000278,362.085292,0.814692,0.000279,360.787542,0.811772,0.000281,358.219750,0.805994,0.000280,359.499061,0.808873,0.000279,360.787542,0.811772,0.000281,358.219750,0.805994,0.000280,359.499061,0.808873,0.000277,363.392412,0.817633,0.000277,363.392412,0.817633,0.000281,358.219750,0.805994,0.000279,360.787542,0.811772,0.000278,362.085292,0.814692,0.000280,359.499061,0.808873,0.000280,359.499061,0.808873,0.000281,358.219750,0.805994,0.000277,363.392412,0.817633,0.000281,358.219750,0.805994,0.000281,358.219750,0.805994,0.000278,362.085292,0.814692,0.000280,359.499061,0.808873,0.000281,358.219750,0.805994,0.000283,355.688251,0.800298,0.000278,362.085292,0.814692,0.000281,358.219750,0.805994,0.000282,356.949512,0.803136,,0.000280,0.000002,360.078576,2.226959,0.810177,0.005011
3x3,2^{24},0.001041,386.790924,0.870280,0.001040,387.162835,0.871116,0.001039,387.535462,0.871955,0.001041,386.790924,0.870280,0.001039,387.535462,0.871955,0.001041,386.790924,0.870280,0.001038,387.908806,0.872795,0.001040,387.162835,0.871116,0.001040,387.162835,0.871116,0.001039,387.535462,0.871955,0.001041,386.790924,0.870280,0.001040,387.162835,0.871116,0.001041,386.790924,0.870280,0.001040,387.162835,0.871116,0.001040,387.162835,0.871116,0.001040,387.162835,0.871116,0.001037,388.282871,0.873636,0.001042,386.419727,0.869444,0.001040,387.162835,0.871116,0.001044,385.679467,0.867779,0.001041,386.790924,0.870280,0.001042,386.419727,0.869444,0.001041,386.790924,0.870280,0.001037,388.282871,0.873636,0.001041,386.790924,0.870280,0.001038,387.908806,0.872795,0.001042,386.419727,0.869444,0.001043,386.049242,0.868611,0.001040,387.162835,0.871116,0.001041,386.790924,0.870280,0.001039,387.535462,0.871955,0.001041,386.790924,0.870280,0.001039,387.535462,0.871955,0.001041,386.790924,0.870280,0.001041,386.790924,0.870280,0.001041,386.790924,0.870280,0.001040,387.162835,0.871116,0.001039,387.535462,0.871955,0.001041,386.790924,0.870280,0.001039,387.535462,0.871955,0.001041,386.790924,0.870280,0.001039,387.535462,0.871955,0.001041,386.790924,0.870280,0.001042,386.419727,0.869444,0.001038,387.908806,0.872795,0.001042,386.419727,0.869444,0.001037,388.282871,0.873636,0.001040,387.162835,0.871116,0.001038,387.908806,0.872795,0.001042,386.419727,0.869444,,0.001040,0.000002,387.089212,0.562066,0.870951,0.001265
3x3,2^{26},0.004132,389.789176,0.877026,0.004144,388.660445,0.874486,0.004132,389.789176,0.877026,0.004133,389.694865,0.876813,0.004144,388.660445,0.874486,0.004131,389.883533,0.877238,0.004129,390.072383,0.877663,0.004144,388.660445,0.874486,0.004144,388.660445,0.874486,0.004129,390.072383,0.877663,0.004130,389.977935,0.877450,0.004130,389.977935,0.877450,0.004143,388.754256,0.874697,0.004131,389.883533,0.877238,0.004139,389.129954,0.875542,0.004130,389.977935,0.877450,0.004130,389.977935,0.877450,0.004141,388.942015,0.875120,0.004133,389.694865,0.876813,0.004146,388.472959,0.874064,0.004146,388.472959,0.874064,0.004139,389.129954,0.875542,0.004142,388.848113,0.874908,0.004129,390.072383,0.877663,0.004129,390.072383,0.877663,0.004137,389.318076,0.875966,0.004128,390.166878,0.877875,0.004143,388.754256,0.874697,0.004130,389.977935,0.877450,0.004133,389.694865,0.876813,0.004138,389.223992,0.875754,0.004144,388.660445,0.874486,0.004139,389.129954,0.875542,0.004140,389.035962,0.875331,0.004133,389.694865,0.876813,0.004139,389.129954,0.875542,0.004131,389.883533,0.877238,0.004131,389.883533,0.877238,0.004132,389.789176,0.877026,0.004133,389.694865,0.876813,0.004134,389.600599,0.876601,0.004132,389.789176,0.877026,0.004128,390.166878,0.877875,0.004132,389.789176,0.877026,0.004146,388.472959,0.874064,0.004131,389.883533,0.877238,0.004133,389.694865,0.876813,0.004143,388.754256,0.874697,0.004133,389.694865,0.876813,0.004131,389.883533,0.877238,,0.004135,0.000006,389.461931,0.544279,0.876289,0.001225
3x3,2^{28},0.017055,377.745365,0.849927,0.016977,379.480897,0.853832,0.016931,380.511912,0.856152,0.016933,380.466968,0.856051,0.016925,380.646805,0.856455,0.016931,380.511912,0.856152,0.016982,379.369167,0.853581,0.017012,378.700164,0.852075,0.017080,377.192459,0.848683,0.016983,379.346828,0.853530,0.016924,380.669296,0.856506,0.017034,378.211060,0.850975,0.017039,378.100076,0.850725,0.016933,380.466968,0.856051,0.017036,378.166659,0.850875,0.017209,374.364997,0.842321,0.017119,376.333151,0.846750,0.017041,378.055701,0.850625,0.017039,378.100076,0.850725,0.017042,378.033517,0.850575,0.017043,378.011336,0.850526,0.017038,378.122268,0.850775,0.017045,377.966982,0.850426,0.017045,377.966982,0.850426,0.017086,377.060003,0.848385,0.017093,376.905588,0.848038,0.017047,377.922637,0.850326,0.017041,378.055701,0.850625,0.017045,377.966982,0.850426,0.017044,377.989157,0.850476,0.017043,378.011336,0.850526,0.017046,377.944808,0.850376,0.017181,374.975102,0.843694,0.017041,378.055701,0.850625,0.017039,378.100076,0.850725,0.017044,377.989157,0.850476,0.017041,378.055701,0.850625,0.017044,377.989157,0.850476,0.017042,378.033517,0.850575,0.017043,378.011336,0.850526,0.017086,377.060003,0.848385,0.017097,376.817407,0.847839,0.017019,378.544403,0.851725,0.017041,378.055701,0.850625,0.017036,378.166659,0.850875,0.017044,377.989157,0.850476,0.017092,376.927639,0.848087,0.017038,378.122268,0.850775,0.017095,376.861492,0.847938,0.017095,376.861492,0.847938,,0.017039,0.000057,378.100275,1.258911,0.850726,0.002833
5x5,2^{16},0.000029,54.221441,0.338862,0.000029,54.221441,0.338862,0.000030,52.414662,0.327571,0.000027,58.236357,0.363954,0.000027,58.236357,0.363954,0.000028,56.157230,0.350960,0.000031,50.724411,0.317007,0.000029,54.221441,0.338862,0.000030,52.414662,0.327571,0.000030,52.414662,0.327571,0.000027,58.236357,0.363954,0.000028,56.157230,0.350960,0.000027,58.236357,0.363954,0.000030,52.414662,0.327571,0.000030,52.414662,0.327571,0.000029,54.221441,0.338862,0.000030,52.414662,0.327571,0.000027,58.236357,0.363954,0.000027,58.236357,0.363954,0.000028,56.157230,0.350960,0.000030,52.414662,0.327571,0.000031,50.724411,0.317007,0.000031,50.724411,0.317007,0.000030,52.414662,0.327571,0.000027,58.236357,0.363954,0.000027,58.236357,0.363954,0.000027,58.236357,0.363954,0.000030,52.414662,0.327571,0.000029,54.221441,0.338862,0.000029,54.221441,0.338862,0.000030,52.414662,0.327571,0.000027,58.236357,0.363954,0.000028,56.157230,0.350960,0.000027,58.236357,0.363954,0.000030,52.414662,0.327571,0.000029,54.221441,0.338862,0.000030,52.414662,0.327571,0.000030,52.414662,0.327571,0.000032,49.139769,0.307104,0.000028,56.157230,0.350960,0.000026,60.475356,0.377947,0.000030,52.414662,0.327571,0.000030,52.414662,0.327571,0.000030,52.414662,0.327571,0.000030,52.414662,0.327571,0.000029,54.221441,0.338862,0.000028,56.157230,0.350960,0.000030,52.414662,0.327571,0.000028,56.157230,0.350960,0.000029,54.221441,0.338862,,0.000029,0.000001,54.538915,2.679138,0.340847,0.016744
5x5,2^{18},0.000058,108.456404,0.677842,0.000055,114.371133,0.714808,0.000054,116.488724,0.728043,0.000057,110.358814,0.689732,0.000057,110.358814,0.689732,0.000055,114.371133,0.714808,0.000056,112.329156,0.702046,0.000057,110.358814,0.689732,0.000058,108.456404,0.677842,0.000055,114.371133,0.714808,0.000057,110.358814,0.689732,0.000057,110.358814,0.689732,0.000053,118.686210,0.741777,0.000055,114.371133,0.714808,0.000057,110.358814,0.689732,0.000058,108.456404,0.677842,0.000054,116.488724,0.728043,0.000057,110.358814,0.689732,0.000057,110.358814,0.689732,0.000054,116.488724,0.728043,0.000056,112.329156,0.702046,0.000057,110.358814,0.689732,0.000056,112.329156,0.702046,0.000054,116.488724,0.728043,0.000057,110.358814,0.689732,0.000058,108.456404,0.677842,0.000054,116.488724,0.728043,0.000054,116.488724,0.728043,0.000057,110.358814,0.689732,0.000057,110.358814,0.689732,0.000055,114.371133,0.714808,0.000058,108.456404,0.677842,0.000057,110.358814,0.689732,0.000055,114.371133,0.714808,0.000055,114.371133,0.714808,0.000056,112.329156,0.702046,0.000057,110.358814,0.689732,0.000057,110.358814,0.689732,0.000057,110.358814,0.689732,0.000057,110.358814,0.689732,0.000056,112.329156,0.702046,0.000053,118.686210,0.741777,0.000057,110.358814,0.689732,0.000058,108.456404,0.677842,0.000057,110.358814,0.689732,0.000058,108.456404,0.677842,0.000058,108.456404,0.677842,0.000055,114.371133,0.714808,0.000055,114.371133,0.714808,0.000056,112.329156,0.702046,,0.000056,0.000001,112.081772,2.873506,0.700500,0.017959
5x5,2^{20},0.000171,147.160540,0.919750,0.000167,150.685133,0.941778,0.000172,146.305006,0.914403,0.000171,147.160540,0.919750,0.000168,149.788251,0.936173,0.000167,150.685133,0.941778,0.000170,148.026140,0.925160,0.000170,148.026140,0.925160,0.000169,148.901982,0.930634,0.000171,147.160540,0.919750,0.000170,148.026140,0.925160,0.000168,149.788251,0.936173,0.000167,150.685133,0.941778,0.000170,148.026140,0.925160,0.000169,148.901982,0.930634,0.000168,149.788251,0.936173,0.000168,149.788251,0.936173,0.000170,148.026140,0.925160,0.000169,148.901982,0.930634,0.000167,150.685133,0.941778,0.000171,147.160540,0.919750,0.000170,148.026140,0.925160,0.000167,150.685133,0.941778,0.000171,147.160540,0.919750,0.000170,148.026140,0.925160,0.000167,150.685133,0.941778,0.000168,149.788251,0.936173,0.000171,147.160540,0.919750,0.000170,148.026140,0.925160,0.000169,148.901982,0.930634,0.000171,147.160540,0.919750,0.000169,148.901982,0.930634,0.000168,149.788251,0.936173,0.000166,151.592820,0.947451,0.000170,148.026140,0.925160,0.000170,148.026140,0.925160,0.000170,148.026140,0.925160,0.000170,148.026140,0.925160,0.000171,147.160540,0.919750,0.000168,149.788251,0.936173,0.000167,150.685133,0.941778,0.000170,148.026140,0.925160,0.000170,148.026140,0.925160,0.000168,149.788251,0.936173,0.000170,148.026140,0.925160,0.000170,148.026140,0.925160,0.000168,149.788251,0.936173,0.000168,149.788251,0.936173,0.000170,148.026140,0.925160,0.000171,147.160540,0.919750,,0.000169,0.000001,148.719508,1.286596,0.929493,0.008041
