Additional run info,,Matrix element datatype,float,kernel_size,3x3 to 9x9

kernel_size,matrix_size,exec_time-0,effective_bandwidth-0,flops-0,exec_time-1,effective_bandwidth-1,flops-1,exec_time-2,effective_bandwidth-2,flops-2,exec_time-3,effective_bandwidth-3,flops-3,exec_time-4,effective_bandwidth-4,flops-4,exec_time-5,effective_bandwidth-5,flops-5,exec_time-6,effective_bandwidth-6,flops-6,exec_time-7,effective_bandwidth-7,flops-7,exec_time-8,effective_bandwidth-8,flops-8,exec_time-9,effective_bandwidth-9,flops-9,exec_time-10,effective_bandwidth-10,flops-10,exec_time-11,effective_bandwidth-11,flops-11,exec_time-12,effective_bandwidth-12,flops-12,exec_time-13,effective_bandwidth-13,flops-13,exec_time-14,effective_bandwidth-14,flops-14,exec_time-15,effective_bandwidth-15,flops-15,exec_time-16,effective_bandwidth-16,flops-16,exec_time-17,effective_bandwidth-17,flops-17,exec_time-18,effective_bandwidth-18,flops-18,exec_time-19,effective_bandwidth-19,flops-19,exec_time-20,effective_bandwidth-20,flops-20,exec_time-21,effective_bandwidth-21,flops-21,exec_time-22,effective_bandwidth-22,flops-22,exec_time-23,effective_bandwidth-23,flops-23,exec_time-24,effective_bandwidth-24,flops-24,exec_time-25,effective_bandwidth-25,flops-25,exec_time-26,effective_bandwidth-26,flops-26,exec_time-27,effective_bandwidth-27,flops-27,exec_time-28,effective_bandwidth-28,flops-28,exec_time-29,effective_bandwidth-29,flops-29,exec_time-30,effective_bandwidth-30,flops-30,exec_time-31,effective_bandwidth-31,flops-31,exec_time-32,effective_bandwidth-32,flops-32,exec_time-33,effective_bandwidth-33,flops-33,exec_time-34,effective_bandwidth-34,flops-34,exec_time-35,effective_bandwidth-35,flops-35,exec_time-36,effective_bandwidth-36,flops-36,exec_time-37,effective_bandwidth-37,flops-37,exec_time-38,effective_bandwidth-38,flops-38,exec_time-39,effective_bandwidth-39,flops-39,exec_time-40,effective_bandwidth-40,flops-40,exec_time-41,effective_bandwidth-41,flops-41,exec_time-42,effective_bandwidth-42,flops-42,exec_time-43,effective_bandwidth-43,flops-43,exec_time-44,effective_bandwidth-44,flops-44,exec_time-45,effective_bandwidth-45,flops-45,exec_time-46,effective_bandwidth-46,flops-46,exec_time-47,effective_bandwidth-47,flops-47,exec_time-48,effective_bandwidth-48,flops-48,exec_time-49,effective_bandwidth-49,flops-49,,mean_exec_time,stdev_exec_time,mean_effective_bandwidth,stdev_effective_bandwidth,mean_flops,stdev_flops
3x3,2^{16},0.000019,82.740663,0.186162,0.000020,78.605697,0.176859,0.000022,71.462971,0.160788,0.000028,56.154945,0.126346,0.000023,68.357236,0.153800,0.000021,74.864350,0.168441,0.000019,82.740663,0.186162,0.000019,82.740663,0.186162,0.000023,68.357236,0.153800,0.000021,74.864350,0.168441,0.000022,71.462971,0.160788,0.000022,71.462971,0.160788,0.000023,68.357236,0.153800,0.000018,87.334814,0.196499,0.000018,87.334814,0.196499,0.000022,71.462971,0.160788,0.000022,71.462971,0.160788,0.000022,71.462971,0.160788,0.000022,71.462971,0.160788,0.000022,71.462971,0.160788,0.000018,87.334814,0.196499,0.000018,87.334814,0.196499,0.000023,68.357236,0.153800,0.000022,71.462971,0.160788,0.000021,74.864350,0.168441,0.000021,74.864350,0.168441,0.000021,74.864350,0.168441,0.000018,87.334814,0.196499,0.000018,87.334814,0.196499,0.000024,65.510204,0.147395,0.000022,71.462971,0.160788,0.000022,71.462971,0.160788,0.000023,68.357236,0.153800,0.000020,78.605697,0.176859,0.000021,74.864350,0.168441,0.000018,87.334814,0.196499,0.000022,71.462971,0.160788,0.000022,71.462971,0.160788,0.000022,71.462971,0.160788,0.000022,71.462971,0.160788,0.000020,78.605697,0.176859,0.000020,78.605697,0.176859,0.000018,87.334814,0.196499,0.000022,71.462971,0.160788,0.000022,71.462971,0.160788,0.000022,71.462971,0.160788,0.000022,71.462971,0.160788,0.000019,82.740663,0.186162,0.000020,78.605697,0.176859,0.000019,82.740663,0.186162,,0.000021,0.000002,75.516884,7.031433,0.169909,0.015820
3x3,2^{18},0.000036,174.715135,0.393107,0.000035,179.705570,0.404335,0.000032,196.547704,0.442230,0.000034,184.989474,0.416224,0.000036,174.715135,0.393107,0.000036,174.715135,0.393107,0.000034,184.989474,0.416224,0.000034,184.989474,0.416224,0.000035,179.705570,0.404335,0.000033,190.593517,0.428833,0.000032,196.547704,0.442230,0.000035,179.705570,0.404335,0.000041,153.413606,0.345179,0.000034,184.989474,0.416224,0.000036,174.715135,0.393107,0.000036,174.715135,0.393107,0.000034,184.989474,0.416224,0.000033,190.593517,0.428833,0.000036,174.715135,0.393107,0.000036,174.715135,0.393107,0.000034,184.989474,0.416224,0.000035,179.705570,0.404335,0.000036,174.715135,0.393107,0.000033,190.593517,0.428833,0.000032,196.547704,0.442230,0.000035,179.705570,0.404335,0.000036,174.715135,0.393107,0.000035,179.705570,0.404335,0.000035,179.705570,0.404335,0.000036,174.715135,0.393107,0.000035,179.705570,0.404335,0.000032,196.547704,0.442230,0.000036,174.715135,0.393107,0.000036,174.715135,0.393107,0.000038,165.522021,0.372422,0.000033,190.593517,0.428833,0.000035,179.705570,0.404335,0.000034,184.989474,0.416224,0.000032,196.547704,0.442230,0.000033,190.593517,0.428833,0.000034,184.989474,0.416224,0.000034,184.989474,0.416224,0.000040,157.247988,0.353806,0.000032,196.547704,0.442230,0.000033,190.593517,0.428833,0.000033,190.593517,0.428833,0.000035,179.705570,0.404335,0.000034,184.989474,0.416224,0.000035,179.705570,0.404335,0.000034,184.989474,0.416224,,0.000035,0.000002,181.957031,9.253189,0.409401,0.020820
3x3,2^{20},0.000087,289.229514,0.650765,0.000086,292.592257,0.658332,0.000084,299.557910,0.674004,0.000083,303.166606,0.682124,0.000086,292.592257,0.658332,0.000085,296.034114,0.666076,0.000085,296.034114,0.666076,0.000084,299.557910,0.674004,0.000083,303.166606,0.682124,0.000087,289.229514,0.650765,0.000085,296.034114,0.666076,0.000085,296.034114,0.666076,0.000084,299.557910,0.674004,0.000082,306.863309,0.690441,0.000086,292.592257,0.658332,0.000085,296.034114,0.666076,0.000087,289.229514,0.650765,0.000084,299.557910,0.674004,0.000084,299.557910,0.674004,0.000086,292.592257,0.658332,0.000086,292.592257,0.658332,0.000086,292.592257,0.658332,0.000087,289.229514,0.650765,0.000085,296.034114,0.666076,0.000084,299.557910,0.674004,0.000088,285.943188,0.643371,0.000087,289.229514,0.650765,0.000086,292.592257,0.658332,0.000083,303.166606,0.682124,0.000083,303.166606,0.682124,0.000086,292.592257,0.658332,0.000086,292.592257,0.658332,0.000087,289.229514,0.650765,0.000082,306.863309,0.690441,0.000083,303.166606,0.682124,0.000085,296.034114,0.666076,0.000086,292.592257,0.658332,0.000085,296.034114,0.666076,0.000083,303.166606,0.682124,0.000083,303.166606,0.682124,0.000085,296.034114,0.666076,0.000084,299.557910,0.674004,0.000086,292.592257,0.658332,0.000084,299.557910,0.674004,0.000084,299.557910,0.674004,0.000085,296.034114,0.666076,0.000086,292.592257,0.658332,0.000086,292.592257,0.658332,0.000083,303.166606,0.682124,0.000082,306.863309,0.690441,,0.000085,0.000002,296.546094,5.274632,0.667228,0.011868
3x3,2^{22},0.000293,343.549135,0.772985,0.000293,343.549135,0.772985,0.000294,342.380640,0.770356,0.000290,347.102969,0.780981,0.000295,341.220067,0.767745,0.000295,341.220067,0.767745,0.000292,344.725633,0.775632,0.000292,344.725633,0.775632,0.000294,342.380640,0.770356,0.000292,344.725633,0.775632,0.000289,348.303976,0.783684,0.000294,342.380640,0.770356,0.000295,341.220067,0.767745,0.000294,342.380640,0.770356,0.000293,343.549135,0.772985,0.000295,341.220067,0.767745,0.000291,345.910216,0.778298,0.000291,345.910216,0.778298,0.000293,343.549135,0.772985,0.000293,343.549135,0.772985,0.000293,343.549135,0.772985,0.000294,342.380640,0.770356,0.000293,343.549135,0.772985,0.000290,347.102969,0.780981,0.000293,343.549135,0.772985,0.000294,342.380640,0.770356,0.000294,342.380640,0.770356,0.000290,347.102969,0.780981,0.000294,342.380640,0.770356,0.000293,343.549135,0.772985,0.000291,345.910216,0.778298,0.000293,343.549135,0.772985,0.000299,336.655403,0.757474,0.000295,341.220067,0.767745,0.000290,347.102969,0.780981,0.000292,344.725633,0.775632,0.000294,342.380640,0.770356,0.000295,341.220067,0.767745,0.000293,343.549135,0.772985,0.000293,343.549135,0.772985,0.000290,347.102969,0.780981,0.000297,338.922366,0.762575,0.000294,342.380640,0.770356,0.000294,342.380640,0.770356,0.000291,345.910216,0.778298,0.000293,343.549135,0.772985,0.000294,342.380640,0.770356,0.000292,344.725633,0.775632,0.000293,343.549135,0.772985,0.000295,341.220067,0.767745,,0.000293,0.000002,343.469233,2.181488,0.772805,0.004908
3x3,2^{24},0.001098,366.711797,0.825101,0.001099,366.378122,0.824351,0.001098,366.711797,0.825101,0.001099,366.378122,0.824351,0.001098,366.711797,0.825101,0.001099,366.378122,0.824351,0.001098,366.711797,0.825101,0.001100,366.045054,0.823601,0.001101,365.712591,0.822853,0.001097,367.046080,0.825854,0.001101,365.712591,0.822853,0.001098,366.711797,0.825101,0.001101,365.712591,0.822853,0.001099,366.378122,0.824351,0.001100,366.045054,0.823601,0.001100,366.045054,0.823601,0.001096,367.380973,0.826607,0.001100,366.045054,0.823601,0.001095,367.716477,0.827362,0.001102,365.380732,0.822107,0.001101,365.712591,0.822853,0.001099,366.378122,0.824351,0.001100,366.045054,0.823601,0.001094,368.052595,0.828118,0.001098,366.711797,0.825101,0.001099,366.378122,0.824351,0.001102,365.380732,0.822107,0.001098,366.711797,0.825101,0.001099,366.378122,0.824351,0.001102,365.380732,0.822107,0.001098,366.711797,0.825101,0.001100,366.045054,0.823601,0.001097,367.046080,0.825854,0.001100,366.045054,0.823601,0.001102,365.380732,0.822107,0.001099,366.378122,0.824351,0.001100,366.045054,0.823601,0.001097,367.046080,0.825854,0.001100,366.045054,0.823601,0.001100,366.045054,0.823601,0.001100,366.045054,0.823601,0.001101,365.712591,0.822853,0.001097,367.046080,0.825854,0.001101,365.712591,0.822853,0.001096,367.380973,0.826607,0.001099,366.378122,0.824351,0.001100,366.045054,0.823601,0.001098,366.711797,0.825101,0.001101,365.712591,0.822853,0.001106,364.059294,0.819133,,0.001099,0.000002,366.292712,0.675519,0.824159,0.001520
3x3,2^{26},0.004361,369.321045,0.830972,0.004383,367.467282,0.826801,0.004379,367.802945,0.827557,0.004366,368.898095,0.830021,0.004385,367.299681,0.826424,0.004366,368.898095,0.830021,0.004366,368.898095,0.830021,0.004387,367.132232,0.826048,0.004391,366.797792,0.825295,0.004366,368.898095,0.830021,0.004391,366.797792,0.825295,0.004365,368.982608,0.830211,0.004372,368.391832,0.828882,0.004388,367.048565,0.825859,0.004372,368.391832,0.828882,0.004389,366.964936,0.825671,0.004381,367.635037,0.827179,0.004367,368.813621,0.829831,0.004390,366.881345,0.825483,0.004369,368.644790,0.829451,0.004367,368.813621,0.829831,0.004389,366.964936,0.825671,0.004384,367.383462,0.826613,0.004389,366.964936,0.825671,0.004364,369.067159,0.830401,0.004366,368.898095,0.830021,0.004367,368.813621,0.829831,0.004380,367.718971,0.827368,0.004366,368.898095,0.830021,0.004377,367.971006,0.827935,0.004378,367.886956,0.827746,0.004368,368.729186,0.829641,0.004378,367.886956,0.827746,0.004363,369.151749,0.830591,0.004368,368.729186,0.829641,0.004386,367.215937,0.826236,0.004384,367.383462,0.826613,0.004363,369.151749,0.830591,0.004380,367.718971,0.827368,0.004363,369.151749,0.830591,0.004365,368.982608,0.830211,0.004363,369.151749,0.830591,0.004367,368.813621,0.829831,0.004365,368.982608,0.830211,0.004388,367.048565,0.825859,0.004360,369.405752,0.831163,0.004366,368.898095,0.830021,0.004367,368.813621,0.829831,0.004365,368.982608,0.830211,0.004382,367.551140,0.826990,,0.004374,0.000010,368.221918,0.835880,0.828499,0.001881
3x3,2^{28},0.017959,358.730853,0.807144,0.017892,360.074188,0.810167,0.017900,359.913262,0.809805,0.017882,360.275550,0.810620,0.017773,362.485082,0.815591,0.017823,361.468180,0.813303,0.017767,362.607494,0.815867,0.017881,360.295698,0.810665,0.017782,362.301617,0.815179,0.017929,359.331105,0.808495,0.017944,359.030728,0.807819,0.017951,358.890724,0.807504,0.017948,358.950713,0.807639,0.017947,358.970713,0.807684,0.017999,357.933630,0.805351,0.018003,357.854102,0.805172,0.017956,358.790788,0.807279,0.017959,358.730853,0.807144,0.017948,358.950713,0.807639,0.017942,359.070750,0.807909,0.017951,358.890724,0.807504,0.017948,358.950713,0.807639,0.018011,357.695153,0.804814,0.018007,357.774610,0.804993,0.017949,358.930714,0.807594,0.018005,357.814352,0.805082,0.017942,359.070750,0.807909,0.017947,358.970713,0.807684,0.017936,359.190867,0.808179,0.017954,358.830756,0.807369,0.017956,358.790788,0.807279,0.018009,357.734877,0.804903,0.017952,358.870733,0.807459,0.018081,356.310349,0.801698,0.017956,358.790788,0.807279,0.017951,358.890724,0.807504,0.017948,358.950713,0.807639,0.017947,358.970713,0.807684,0.017940,359.110780,0.807999,0.017945,359.010721,0.807774,0.018015,357.615732,0.804635,0.018041,357.100350,0.803476,0.018002,357.873981,0.805216,0.017951,358.890724,0.807504,0.017948,358.950713,0.807639,0.017945,359.010721,0.807774,0.017948,358.950713,0.807639,0.017945,359.010721,0.807774,0.017950,358.910718,0.807549,0.017952,358.870733,0.807459,,0.017944,0.000059,359.027848,1.188955,0.807813,0.002675
5x5,2^{16},0.000032,49.139769,0.307104,0.000028,56.157230,0.350960,0.000027,58.236357,0.363954,0.000030,52.414662,0.327571,0.000032,49.139769,0.307104,0.000032,49.139769,0.307104,0.000031,50.724411,0.317007,0.000031,50.724411,0.317007,0.000028,56.157230,0.350960,0.000027,58.236357,0.363954,0.000029,54.221441,0.338862,0.000031,50.724411,0.317007,0.000032,49.139769,0.307104,0.000032,49.139769,0.307104,0.000028,56.157230,0.350960,0.000030,52.414662,0.327571,0.000027,58.236357,0.363954,0.000030,52.414662,0.327571,0.000031,50.724411,0.317007,0.000031,50.724411,0.317007,0.000032,49.139769,0.307104,0.000029,54.221441,0.338862,0.000029,54.221441,0.338862,0.000028,56.157230,0.350960,0.000031,50.724411,0.317007,0.000031,50.724411,0.317007,0.000031,50.724411,0.317007,0.000030,52.414662,0.327571,0.000028,56.157230,0.350960,0.000029,54.221441,0.338862,0.000027,58.236357,0.363954,0.000032,49.139769,0.307104,0.000031,50.724411,0.317007,0.000032,49.139769,0.307104,0.000030,52.414662,0.327571,0.000028,56.157230,0.350960,0.000029,54.221441,0.338862,0.000027,58.236357,0.363954,0.000031,50.724411,0.317007,0.000030,52.414662,0.327571,0.000031,50.724411,0.317007,0.000031,50.724411,0.317007,0.000029,54.221441,0.338862,0.000030,52.414662,0.327571,0.000028,56.157230,0.350960,0.000030,52.414662,0.327571,0.000031,50.724411,0.317007,0.000031,50.724411,0.317007,0.000030,52.414662,0.327571,0.000030,52.414662,0.327571,,0.000030,0.000002,52.740351,2.855129,0.329606,0.017843
5x5,2^{18},0.000055,114.371133,0.714808,0.000059,106.618471,0.666355,0.000059,106.618471,0.666355,0.000055,114.371133,0.714808,0.000057,110.358814,0.689732,0.000058,108.456404,0.677842,0.000059,106.618471,0.666355,0.000058,108.456404,0.677842,0.000058,108.456404,0.677842,0.000059,106.618471,0.666355,0.000055,114.371133,0.714808,0.000055,114.371133,0.714808,0.000059,106.618471,0.666355,0.000058,108.456404,0.677842,0.000056,112.329156,0.702046,0.000059,106.618471,0.666355,0.000058,108.456404,0.677842,0.000056,112.329156,0.702046,0.000055,114.371133,0.714808,0.000058,108.456404,0.677842,0.000058,108.456404,0.677842,0.000056,112.329156,0.702046,0.000058,108.456404,0.677842,0.000058,108.456404,0.677842,0.000055,114.371133,0.714808,0.000057,110.358814,0.689732,0.000058,108.456404,0.677842,0.000058,108.456404,0.677842,0.000055,114.371133,0.714808,0.000059,106.618471,0.666355,0.000058,108.456404,0.677842,0.000055,114.371133,0.714808,0.000056,112.329156,0.702046,0.000059,106.618471,0.666355,0.000058,108.456404,0.677842,0.000056,112.329156,0.702046,0.000059,106.618471,0.666355,0.000059,106.618471,0.666355,0.000057,110.358814,0.689732,0.000055,114.371133,0.714808,0.000059,106.618471,0.666355,0.000059,106.618471,0.666355,0.000059,106.618471,0.666355,0.000058,108.456404,0.677842,0.000059,106.618471,0.666355,0.000058,108.456404,0.677842,0.000055,114.371133,0.714808,0.000060,104.841793,0.655251,0.000058,108.456404,0.677842,0.000057,110.358814,0.689732,,0.000057,0.000002,109.591904,2.950244,0.684939,0.018439
5x5,2^{20},0.000170,148.026140,0.925160,0.000173,145.459361,0.909117,0.000173,145.459361,0.909117,0.000171,147.160540,0.919750,0.000173,145.459361,0.909117,0.000173,145.459361,0.909117,0.000170,148.026140,0.925160,0.000169,148.901982,0.930634,0.000173,145.459361,0.909117,0.000173,145.459361,0.909117,0.000170,148.026140,0.925160,0.000178,141.373653,0.883582,0.000173,145.459361,0.909117,0.000170,148.026140,0.925160,0.000171,147.160540,0.919750,0.000173,145.459361,0.909117,0.000173,145.459361,0.909117,0.000172,146.305006,0.914403,0.000174,144.623435,0.903893,0.000172,146.305006,0.914403,0.000171,147.160540,0.919750,0.000173,145.459361,0.909117,0.000173,145.459361,0.909117,0.000172,146.305006,0.914403,0.000174,144.623435,0.903893,0.000174,144.623435,0.903893,0.000173,145.459361,0.909117,0.000170,148.026140,0.925160,0.000169,148.901982,0.930634,0.000174,144.623435,0.903893,0.000173,145.459361,0.909117,0.000173,145.459361,0.909117,0.000171,147.160540,0.919750,0.000174,144.623435,0.903893,0.000172,146.305006,0.914403,0.000169,148.901982,0.930634,0.000174,144.623435,0.903893,0.000178,141.373653,0.883582,0.000172,146.305006,0.914403,0.000172,146.305006,0.914403,0.000172,146.305006,0.914403,0.000174,144.623435,0.903893,0.000170,148.026140,0.925160,0.000172,146.305006,0.914403,0.000172,146.305006,0.914403,0.000170,148.026140,0.925160,0.000172,146.305006,0.914403,0.000174,144.623435,0.903893,0.000173,145.459361,0.909117,0.000169,148.901982,0.930634,,0.000172,0.000002,146.102166,1.615973,0.913135,0.010100
